seed_val:    1
 0.314,     0.211,    [     0.999],     1.438
 0.476,     0.428,    [     1.000],     1.918
 0.494,     0.451,    [     1.000],     1.989
 0.504,     0.461,    [     1.000],     2.043
 0.510,     0.469,    [     1.000],     2.043
 0.515,     0.476,    [     1.000],     2.101
 0.518,     0.478,    [     1.000],     2.093
 0.523,     0.484,    [     1.000],     2.117
 0.527,     0.491,    [     1.000],     2.141
 0.530,     0.496,    [     0.999],     2.173
 0.532,     0.495,    [     1.000],     2.148
 0.536,     0.502,    [     1.000],     2.206
 0.540,     0.512,    [     1.000],     2.201
 0.542,     0.513,    [     0.999],     2.210
 0.544,     0.513,    [     0.999],     2.210

 pctg,    rr,    α,    β
 0.600,     0.483,    [     0.999],     2.210


seed_val:    2
 0.276,     0.156,    [     0.999],     1.322
 0.448,     0.406,    [     0.999],     1.790
 0.478,     0.455,    [     1.000],     1.891
 0.484,     0.464,    [     1.000],     1.921
 0.488,     0.470,    [     1.000],     1.921
 0.491,     0.474,    [     1.000],     1.921
 0.494,     0.476,    [     1.000],     1.921
 0.497,     0.481,    [     1.000],     1.921
 0.500,     0.483,    [     1.000],     1.983
 0.502,     0.482,    [     1.000],     1.983
 0.505,     0.487,    [     1.000],     1.983
 0.508,     0.489,    [     1.000],     1.973
 0.511,     0.491,    [     1.000],     2.036
 0.516,     0.499,    [     1.000],     2.063
 0.519,     0.500,    [     1.000],     2.040

 pctg,    rr,    α,    β
 0.600,     0.500,    [     1.000],     2.040


seed_val:    3
 0.283,     0.181,    [     0.998],     1.377
 0.415,     0.366,    [     0.999],     1.713
 0.472,     0.445,    [     0.999],     1.909
 0.495,     0.475,    [     1.000],     2.012
 0.504,     0.486,    [     1.000],     2.012
 0.507,     0.489,    [     1.000],     2.087
 0.510,     0.489,    [     1.000],     2.073
 0.512,     0.494,    [     1.000],     2.094
 0.515,     0.497,    [     1.000],     2.094
 0.516,     0.499,    [     1.000],     2.094
 0.518,     0.499,    [     1.000],     2.113
 0.518,     0.497,    [     1.000],     2.104
 0.521,     0.506,    [     1.000],     2.138
 0.522,     0.505,    [     1.000],     2.115
 0.523,     0.504,    [     1.000],     2.115

 pctg,    rr,    α,    β
 0.600,     0.478,    [     1.000],     2.115


seed_val:    4
 0.380,     0.303,    [     0.995],     1.621
 0.473,     0.433,    [     0.999],     1.929
 0.499,     0.472,    [     1.000],     2.037
 0.506,     0.475,    [     1.000],     2.037
 0.510,     0.482,    [     1.000],     2.037
 0.512,     0.482,    [     1.000],     2.037
 0.514,     0.483,    [     1.000],     2.037
 0.517,     0.485,    [     1.000],     2.099
 0.518,     0.487,    [     1.000],     2.107
 0.521,     0.491,    [     1.000],     2.108
 0.522,     0.491,    [     1.000],     2.108
 0.523,     0.487,    [     1.000],     2.108
 0.527,     0.494,    [     1.000],     2.150
 0.529,     0.497,    [     1.000],     2.150
 0.532,     0.502,    [     1.000],     2.150

 pctg,    rr,    α,    β
 0.600,     0.520,    [     1.000],     2.150


seed_val:    5
 0.386,     0.381,    [    -0.995],     1.664
 0.415,     0.407,    [    -0.997],     1.751
 0.427,     0.417,    [    -0.999],     1.768
 0.438,     0.430,    [    -0.999],     1.824
 0.444,     0.432,    [    -0.999],     1.824
 0.452,     0.443,    [    -0.999],     1.824
 0.457,     0.450,    [    -0.999],     1.896
 0.463,     0.459,    [    -0.994],     1.922
 0.469,     0.465,    [    -0.994],     1.922
 0.471,     0.466,    [    -0.994],     1.944
 0.474,     0.468,    [    -0.999],     1.949
 0.477,     0.469,    [    -0.999],     1.963
 0.478,     0.471,    [    -0.999],     1.969
 0.483,     0.477,    [    -1.000],     2.006
 0.486,     0.483,    [    -1.000],     2.006

 pctg,    rr,    α,    β
 0.600,     0.499,    [    -1.000],     2.006


seed_val:    6
 0.437,     0.414,    [    -0.998],     1.799
 0.444,     0.420,    [    -0.998],     1.799
 0.452,     0.434,    [    -0.999],     1.857
 0.457,     0.440,    [    -0.999],     1.857
 0.461,     0.444,    [    -0.999],     1.857
 0.465,     0.447,    [    -0.995],     1.895
 0.467,     0.445,    [    -0.995],     1.895
 0.474,     0.456,    [    -0.999],     1.919
 0.477,     0.459,    [    -0.999],     1.919
 0.479,     0.460,    [    -0.999],     1.961
 0.481,     0.462,    [    -0.999],     1.970
 0.481,     0.458,    [    -1.000],     1.964
 0.485,     0.465,    [    -1.000],     1.964
 0.484,     0.456,    [    -0.999],     1.980
 0.485,     0.455,    [    -0.999],     1.980

 pctg,    rr,    α,    β
 0.600,     0.453,    [    -0.999],     1.980


seed_val:    7
 0.331,     0.278,    [    -1.000],     1.483
 0.382,     0.331,    [    -1.000],     1.616
 0.416,     0.358,    [    -0.995],     1.700
 0.451,     0.381,    [    -0.999],     1.815
 0.471,     0.398,    [    -0.999],     1.884
 0.486,     0.412,    [    -0.999],     1.884
 0.493,     0.419,    [    -0.999],     1.977
 0.497,     0.422,    [    -0.999],     1.977
 0.502,     0.429,    [    -0.999],     1.977
 0.505,     0.435,    [    -0.999],     2.025
 0.507,     0.432,    [    -0.999],     2.025
 0.506,     0.424,    [    -0.999],     2.025
 0.506,     0.425,    [    -0.999],     2.025
 0.515,     0.441,    [    -0.999],     2.064
 0.517,     0.442,    [    -0.999],     2.064

 pctg,    rr,    α,    β
 0.600,     0.423,    [    -0.999],     2.064


seed_val:    8
 0.333,     0.324,    [    -0.999],     1.575
 0.360,     0.339,    [    -0.999],     1.629
 0.381,     0.365,    [    -0.992],     1.681
 0.399,     0.381,    [    -0.999],     1.726
 0.417,     0.398,    [    -0.999],     1.777
