seed_val:    1
 0.911,     0.959,    [     0.908],     6.230
 0.951,     0.967,    [     0.926],    11.352
 0.960,     0.970,    [     0.934],    19.010
 0.964,     0.971,    [     0.945],    26.909
 0.967,     0.972,    [     0.955],    33.373
 0.969,     0.974,    [     0.963],    38.163
 0.970,     0.973,    [     0.969],    41.729
 0.972,     0.974,    [     0.974],    44.516
 0.972,     0.974,    [     0.977],    46.247
 0.973,     0.975,    [     0.980],    47.927
 0.973,     0.974,    [     0.982],    48.918
 0.974,     0.975,    [     0.983],    50.202
 0.975,     0.976,    [     0.985],    51.200
 0.975,     0.976,    [     0.986],    52.411
 0.975,     0.975,    [     0.987],    53.297

 pctg,    rr,    α,    β
 0.600,     0.982,    [     0.987],    53.297


seed_val:    2
 0.902,     0.961,    [     0.930],     5.510
 0.946,     0.970,    [     0.967],     9.504
 0.962,     0.975,    [     0.978],    16.409
 0.964,     0.978,    [     0.978],    25.565
 0.967,     0.979,    [     0.980],    33.756
 0.970,     0.980,    [     0.981],    39.645
 0.970,     0.982,    [     0.983],    43.276
 0.971,     0.981,    [     0.984],    45.992
 0.973,     0.982,    [     0.985],    47.823
 0.973,     0.982,    [     0.986],    49.312
 0.973,     0.981,    [     0.987],    50.360
 0.974,     0.983,    [     0.988],    52.027
 0.975,     0.983,    [     0.988],    53.015
 0.975,     0.982,    [     0.989],    54.420
 0.976,     0.983,    [     0.989],    55.699

 pctg,    rr,    α,    β
 0.600,     0.977,    [     0.989],    55.699


seed_val:    3
 0.864,     0.944,    [     0.937],     3.544
 0.943,     0.967,    [     0.954],     6.843
 0.961,     0.973,    [     0.955],    13.498
 0.964,     0.974,    [     0.957],    22.608
 0.966,     0.975,    [     0.961],    31.459
 0.967,     0.975,    [     0.967],    38.212
 0.969,     0.976,    [     0.971],    42.853
 0.970,     0.976,    [     0.975],    46.170
 0.971,     0.976,    [     0.978],    48.460
 0.971,     0.975,    [     0.980],    49.785
 0.971,     0.976,    [     0.982],    50.804
 0.972,     0.977,    [     0.983],    52.119
 0.972,     0.976,    [     0.985],    53.167
 0.973,     0.977,    [     0.986],    53.989
 0.973,     0.977,    [     0.986],    54.894

 pctg,    rr,    α,    β
 0.600,     0.976,    [     0.986],    54.894


seed_val:    4
 0.895,     0.958,    [     0.919],     5.756
 0.943,     0.968,    [     0.941],    10.423
 0.960,     0.977,    [     0.946],    17.772
 0.966,     0.978,    [     0.953],    26.500
 0.968,     0.978,    [     0.960],    33.996
 0.969,     0.976,    [     0.965],    39.107
 0.971,     0.977,    [     0.970],    42.404
 0.971,     0.977,    [     0.974],    44.598
 0.971,     0.977,    [     0.976],    46.305
 0.972,     0.977,    [     0.979],    48.012
 0.972,     0.977,    [     0.981],    49.088
 0.973,     0.977,    [     0.982],    50.594
 0.973,     0.976,    [     0.983],    51.550
 0.974,     0.976,    [     0.985],    52.559
 0.974,     0.976,    [     0.986],    53.779

 pctg,    rr,    α,    β
 0.600,     0.978,    [     0.986],    53.779


seed_val:    5
 0.909,     0.968,    [     0.935],     4.797
 0.961,     0.975,    [     0.947],     9.928
 0.966,     0.975,    [     0.950],    18.383
 0.967,     0.975,    [     0.955],    27.775
 0.971,     0.977,    [     0.961],    35.940
 0.973,     0.977,    [     0.966],    41.679
 0.973,     0.977,    [     0.970],    45.231
 0.973,     0.977,    [     0.974],    48.256
 0.975,     0.978,    [     0.977],    50.351
 0.975,     0.977,    [     0.979],    52.029
 0.975,     0.977,    [     0.981],    53.299
 0.976,     0.978,    [     0.982],    54.158
 0.976,     0.978,    [     0.983],    54.784
 0.976,     0.978,    [     0.984],    56.045
 0.976,     0.978,    [     0.985],    56.378

 pctg,    rr,    α,    β
 0.600,     0.978,    [     0.985],    56.378


seed_val:    6
 0.876,     0.962,    [     0.932],     4.805
 0.945,     0.956,    [     0.947],     9.078
 0.961,     0.964,    [     0.949],    16.478
 0.969,     0.972,    [     0.954],    25.713
 0.971,     0.975,    [     0.959],    33.871
 0.972,     0.978,    [     0.965],    39.527
 0.973,     0.978,    [     0.969],    42.793
 0.973,     0.978,    [     0.973],    45.404
 0.973,     0.978,    [     0.976],    46.881
 0.974,     0.978,    [     0.978],    47.966
 0.974,     0.979,    [     0.979],    49.348
 0.975,     0.980,    [     0.981],    50.172
 0.976,     0.980,    [     0.982],    51.278
 0.976,     0.980,    [     0.983],    52.341
 0.976,     0.980,    [     0.984],    53.097

 pctg,    rr,    α,    β
 0.600,     0.972,    [     0.984],    53.097


seed_val:    7
 0.870,     0.948,    [     0.945],     3.770
 0.921,     0.952,    [     0.964],     6.901
 0.945,     0.968,    [     0.967],    11.985
 0.956,     0.969,    [     0.969],    18.430
 0.964,     0.974,    [     0.971],    25.534
 0.967,     0.976,    [     0.974],    32.151
 0.971,     0.978,    [     0.976],    37.184
 0.971,     0.977,    [     0.979],    40.582
 0.972,     0.978,    [     0.980],    43.018
 0.974,     0.980,    [     0.982],    44.633
 0.974,     0.980,    [     0.983],    46.103
 0.974,     0.980,    [     0.984],    47.412
 0.975,     0.979,    [     0.985],    48.297
 0.975,     0.980,    [     0.986],    48.849
 0.975,     0.980,    [     0.987],    49.484

 pctg,    rr,    α,    β
 0.600,     0.972,    [     0.987],    49.484


seed_val:    8
 0.863,     0.955,    [     0.946],     3.635
 0.936,     0.968,    [     0.967],     7.083
 0.955,     0.972,    [     0.970],    13.562
 0.962,     0.974,    [     0.971],    22.576
 0.966,     0.975,    [     0.973],    31.704
 0.968,     0.974,    [     0.976],    38.482
 0.969,     0.974,    [     0.979],    42.646
 0.970,     0.974,    [     0.981],    45.177
 0.971,     0.974,    [     0.982],    46.665
 0.972,     0.974,    [     0.984],    48.049
 0.971,     0.975,    [     0.985],    49.469
 0.972,     0.974,    [     0.986],    49.936
 0.974,     0.976,    [     0.987],    51.307
 0.972,     0.974,    [     0.988],    52.523
 0.974,     0.975,    [     0.988],    53.155

 pctg,    rr,    α,    β
 0.600,     0.977,    [     0.988],    53.155


seed_val:    9
 0.899,     0.959,    [     0.937],     4.835
 0.953,     0.975,    [     0.951],     9.786
 0.959,     0.979,    [     0.952],    18.079
 0.962,     0.980,    [     0.957],    27.477
 0.966,     0.981,    [     0.964],    34.956
 0.965,     0.981,    [     0.969],    40.084
 0.967,     0.981,    [     0.973],    43.526
 0.968,     0.982,    [     0.977],    46.194
 0.969,     0.981,    [     0.979],    48.480
 0.968,     0.982,    [     0.981],    50.288
 0.969,     0.982,    [     0.983],    51.899
 0.970,     0.982,    [     0.984],    53.366
 0.970,     0.982,    [     0.985],    54.259
 0.970,     0.982,    [     0.986],    55.292
