seed_val:    1
 0.919,     0.956,    [     0.908],     6.500
 0.955,     0.971,    [     0.932],    11.768
 0.961,     0.975,    [     0.940],    19.512
 0.965,     0.978,    [     0.950],    27.782
 0.969,     0.978,    [     0.958],    34.972
 0.970,     0.979,    [     0.965],    40.531
 0.971,     0.979,    [     0.971],    44.525
 0.973,     0.980,    [     0.975],    47.877
 0.973,     0.979,    [     0.978],    50.266
 0.974,     0.979,    [     0.981],    52.549
 0.975,     0.980,    [     0.983],    54.394
 0.976,     0.980,    [     0.984],    55.836
 0.976,     0.979,    [     0.986],    56.982
 0.977,     0.980,    [     0.987],    58.324
 0.977,     0.980,    [     0.988],    60.146

 pctg,    rr,    α,    β
 0.600,     0.986,    [     0.988],    60.146


seed_val:    2
 0.911,     0.967,    [     0.931],     5.945
 0.966,     0.979,    [     0.955],    11.369
 0.968,     0.979,    [     0.959],    20.781
 0.972,     0.980,    [     0.963],    31.214
 0.973,     0.980,    [     0.968],    40.037
 0.975,     0.982,    [     0.973],    46.459
 0.976,     0.982,    [     0.976],    50.612
 0.977,     0.982,    [     0.979],    54.106
 0.976,     0.981,    [     0.982],    56.061
 0.977,     0.981,    [     0.984],    58.155
 0.978,     0.982,    [     0.985],    60.255
 0.978,     0.981,    [     0.986],    62.266
 0.979,     0.982,    [     0.987],    63.479
 0.979,     0.982,    [     0.988],    64.856
 0.979,     0.982,    [     0.989],    65.629

 pctg,    rr,    α,    β
 0.600,     0.983,    [     0.989],    65.629


seed_val:    3
 0.875,     0.952,    [     0.940],     3.476
 0.958,     0.973,    [     0.955],     7.025
 0.968,     0.978,    [     0.956],    14.349
 0.972,     0.979,    [     0.959],    25.119
 0.972,     0.980,    [     0.963],    36.652
 0.975,     0.981,    [     0.969],    46.032
 0.975,     0.981,    [     0.973],    52.482
 0.976,     0.981,    [     0.977],    57.036
 0.977,     0.982,    [     0.980],    60.418
 0.978,     0.981,    [     0.982],    63.074
 0.978,     0.981,    [     0.984],    64.969
 0.978,     0.981,    [     0.985],    66.834
 0.979,     0.982,    [     0.987],    68.251
 0.979,     0.982,    [     0.988],    70.182
 0.980,     0.982,    [     0.989],    71.546

 pctg,    rr,    α,    β
 0.600,     0.981,    [     0.989],    71.546


seed_val:    4
 0.912,     0.963,    [     0.916],     6.243
 0.957,     0.975,    [     0.938],    11.842
 0.963,     0.979,    [     0.943],    20.444
 0.966,     0.980,    [     0.950],    28.974
 0.970,     0.982,    [     0.959],    36.173
 0.971,     0.982,    [     0.966],    41.703
 0.973,     0.983,    [     0.971],    45.601
 0.974,     0.983,    [     0.975],    48.503
 0.973,     0.983,    [     0.978],    50.770
 0.975,     0.983,    [     0.980],    53.243
 0.976,     0.983,    [     0.982],    55.256
 0.977,     0.984,    [     0.983],    57.308
 0.977,     0.984,    [     0.985],    58.802
 0.977,     0.983,    [     0.986],    60.547
 0.978,     0.984,    [     0.987],    61.947

 pctg,    rr,    α,    β
 0.600,     0.985,    [     0.987],    61.947


seed_val:    5
 0.910,     0.969,    [     0.936],     4.782
 0.967,     0.980,    [     0.951],    10.068
 0.970,     0.979,    [     0.954],    19.350
 0.969,     0.977,    [     0.960],    30.192
 0.973,     0.980,    [     0.966],    39.669
 0.976,     0.981,    [     0.971],    47.006
 0.977,     0.982,    [     0.976],    53.272
 0.979,     0.982,    [     0.979],    57.858
 0.980,     0.983,    [     0.982],    62.018
 0.981,     0.983,    [     0.984],    64.825
 0.981,     0.983,    [     0.986],    66.403
 0.981,     0.983,    [     0.987],    67.545
 0.981,     0.983,    [     0.988],    68.619
 0.982,     0.983,    [     0.989],    70.086
 0.982,     0.983,    [     0.990],    72.256

 pctg,    rr,    α,    β
 0.600,     0.982,    [     0.990],    72.256


seed_val:    6
 0.902,     0.967,    [     0.926],     5.473
 0.959,     0.968,    [     0.945],    10.517
 0.971,     0.972,    [     0.948],    19.617
 0.975,     0.976,    [     0.955],    30.675
 0.976,     0.977,    [     0.962],    39.731
 0.978,     0.978,    [     0.968],    46.229
 0.978,     0.979,    [     0.974],    51.055
 0.980,     0.980,    [     0.977],    54.874
 0.980,     0.980,    [     0.980],    57.579
 0.980,     0.980,    [     0.982],    60.131
 0.981,     0.981,    [     0.984],    62.876
 0.981,     0.981,    [     0.985],    65.285
 0.982,     0.982,    [     0.987],    68.014
 0.983,     0.983,    [     0.988],    70.462
 0.983,     0.983,    [     0.989],    72.530

 pctg,    rr,    α,    β
 0.600,     0.975,    [     0.989],    72.530


seed_val:    7
 0.890,     0.956,    [     0.945],     3.911
 0.942,     0.965,    [     0.963],     7.603
 0.963,     0.975,    [     0.965],    14.171
 0.970,     0.975,    [     0.967],    23.413
 0.972,     0.977,    [     0.970],    32.307
 0.975,     0.978,    [     0.973],    39.750
 0.977,     0.980,    [     0.976],    45.234
 0.978,     0.981,    [     0.979],    49.260
 0.978,     0.981,    [     0.981],    52.291
 0.979,     0.982,    [     0.983],    54.865
 0.979,     0.981,    [     0.984],    56.755
 0.979,     0.982,    [     0.985],    58.813
 0.981,     0.983,    [     0.986],    60.831
 0.981,     0.983,    [     0.987],    62.339
 0.981,     0.983,    [     0.988],    63.790

