seed_val:    1
 0.963,     0.977,    [     0.000],    20.086
 0.966,     0.978,    [     0.000],    20.086
 0.968,     0.980,    [     0.000],    20.086
 0.971,     0.981,    [     0.000],    20.086
 0.973,     0.982,    [     0.000],    20.086
 0.975,     0.983,    [     0.000],    20.086
 0.976,     0.983,    [     0.000],    20.086
 0.977,     0.983,    [     0.000],    20.086
 0.978,     0.983,    [     0.000],    20.086
 0.978,     0.984,    [     0.000],    20.086
 0.979,     0.984,    [     0.000],    20.086
 0.980,     0.984,    [     0.000],    20.086
 0.980,     0.984,    [     0.000],    20.086
 0.980,     0.984,    [     0.000],    20.086
 0.981,     0.984,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.990,    [     0.000],    20.086


seed_val:    2
 0.957,     0.973,    [     0.000],    20.086
 0.966,     0.979,    [     0.000],    20.086
 0.969,     0.981,    [     0.000],    20.086
 0.972,     0.983,    [     0.000],    20.086
 0.975,     0.985,    [     0.000],    20.086
 0.976,     0.986,    [     0.000],    20.086
 0.977,     0.986,    [     0.000],    20.086
 0.978,     0.987,    [     0.000],    20.086
 0.979,     0.987,    [     0.000],    20.086
 0.979,     0.988,    [     0.000],    20.086
 0.980,     0.988,    [     0.000],    20.086
 0.980,     0.988,    [     0.000],    20.086
 0.981,     0.988,    [     0.000],    20.086
 0.981,     0.988,    [     0.000],    20.086
 0.981,     0.989,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.987,    [     0.000],    20.086


seed_val:    3
 0.974,     0.987,    [     0.000],    20.086
 0.975,     0.987,    [     0.000],    20.086
 0.977,     0.987,    [     0.000],    20.086
 0.978,     0.987,    [     0.000],    20.086
 0.979,     0.987,    [     0.000],    20.086
 0.979,     0.987,    [     0.000],    20.086
 0.980,     0.987,    [     0.000],    20.086
 0.980,     0.987,    [     0.000],    20.086
 0.981,     0.987,    [     0.000],    20.086
 0.981,     0.987,    [     0.000],    20.086
 0.982,     0.987,    [     0.000],    20.086
 0.982,     0.988,    [     0.000],    20.086
 0.982,     0.988,    [     0.000],    20.086
 0.982,     0.988,    [     0.000],    20.086
 0.983,     0.988,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.983,    [     0.000],    20.086


seed_val:    4
 0.935,     0.952,    [     0.000],    20.086
 0.953,     0.966,    [     0.000],    20.086
 0.962,     0.974,    [     0.000],    20.086
 0.967,     0.979,    [     0.000],    20.086
 0.971,     0.982,    [     0.000],    20.086
 0.973,     0.984,    [     0.000],    20.086
 0.974,     0.985,    [     0.000],    20.086
 0.975,     0.985,    [     0.000],    20.086
 0.977,     0.986,    [     0.000],    20.086
 0.977,     0.986,    [     0.000],    20.086
 0.978,     0.987,    [     0.000],    20.086
 0.978,     0.986,    [     0.000],    20.086
 0.979,     0.986,    [     0.000],    20.086
 0.979,     0.986,    [     0.000],    20.086
 0.979,     0.986,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.989,    [     0.000],    20.086


seed_val:    5
 0.963,     0.983,    [     0.000],    20.086
 0.970,     0.986,    [     0.000],    20.086
 0.973,     0.986,    [     0.000],    20.086
 0.975,     0.986,    [     0.000],    20.086
 0.975,     0.986,    [     0.000],    20.086
