seed_val:    1
 0.848,     0.831,    [     0.000],    20.086
 0.919,     0.921,    [     0.000],    20.086
 0.929,     0.934,    [     0.000],    20.086
 0.933,     0.938,    [     0.000],    20.086
 0.937,     0.943,    [     0.000],    20.086
 0.939,     0.944,    [     0.000],    20.086
 0.939,     0.944,    [     0.000],    20.086
 0.943,     0.946,    [     0.000],    20.086
 0.940,     0.943,    [     0.000],    20.086
 0.946,     0.949,    [     0.000],    20.086
 0.946,     0.948,    [     0.000],    20.086
 0.947,     0.950,    [     0.000],    20.086
 0.948,     0.949,    [     0.000],    20.086
 0.950,     0.951,    [     0.000],    20.086
 0.951,     0.951,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.954,    [     0.000],    20.086


seed_val:    2
 0.695,     0.695,    [     0.000],    20.086
 0.923,     0.912,    [     0.000],    20.086
 0.933,     0.924,    [     0.000],    20.086
 0.938,     0.929,    [     0.000],    20.086
 0.941,     0.934,    [     0.000],    20.086
 0.945,     0.939,    [     0.000],    20.086
 0.946,     0.942,    [     0.000],    20.086
 0.948,     0.942,    [     0.000],    20.086
 0.949,     0.945,    [     0.000],    20.086
 0.950,     0.945,    [     0.000],    20.086
 0.951,     0.946,    [     0.000],    20.086
 0.952,     0.947,    [     0.000],    20.086
 0.954,     0.948,    [     0.000],    20.086
 0.955,     0.950,    [     0.000],    20.086
 0.955,     0.950,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.953,    [     0.000],    20.086


seed_val:    3
 0.805,     0.788,    [     0.000],    20.086
 0.909,     0.900,    [     0.000],    20.086
 0.926,     0.922,    [     0.000],    20.086
 0.935,     0.931,    [     0.000],    20.086
 0.939,     0.938,    [     0.000],    20.086
 0.943,     0.941,    [     0.000],    20.086
 0.945,     0.943,    [     0.000],    20.086
 0.947,     0.945,    [     0.000],    20.086
 0.949,     0.946,    [     0.000],    20.086
 0.950,     0.945,    [     0.000],    20.086
 0.951,     0.947,    [     0.000],    20.086
 0.952,     0.948,    [     0.000],    20.086
 0.952,     0.947,    [     0.000],    20.086
 0.954,     0.948,    [     0.000],    20.086
 0.955,     0.947,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.943,    [     0.000],    20.086


seed_val:    4
 0.838,     0.834,    [     0.000],    20.086
 0.924,     0.927,    [     0.000],    20.086
 0.933,     0.936,    [     0.000],    20.086
 0.936,     0.940,    [     0.000],    20.086
 0.937,     0.940,    [     0.000],    20.086
 0.943,     0.945,    [     0.000],    20.086
 0.945,     0.948,    [     0.000],    20.086
 0.947,     0.948,    [     0.000],    20.086
 0.946,     0.947,    [     0.000],    20.086
 0.949,     0.950,    [     0.000],    20.086
 0.951,     0.951,    [     0.000],    20.086
 0.952,     0.951,    [     0.000],    20.086
 0.953,     0.952,    [     0.000],    20.086
 0.953,     0.951,    [     0.000],    20.086
 0.952,     0.950,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.950,    [     0.000],    20.086


seed_val:    5
 0.852,     0.842,    [     0.000],    20.086
 0.919,     0.912,    [     0.000],    20.086
 0.929,     0.923,    [     0.000],    20.086
 0.935,     0.930,    [     0.000],    20.086
 0.939,     0.934,    [     0.000],    20.086
 0.942,     0.936,    [     0.000],    20.086
 0.945,     0.939,    [     0.000],    20.086
 0.944,     0.938,    [     0.000],    20.086
 0.946,     0.941,    [     0.000],    20.086
 0.949,     0.943,    [     0.000],    20.086
 0.951,     0.945,    [     0.000],    20.086
 0.953,     0.946,    [     0.000],    20.086
 0.953,     0.945,    [     0.000],    20.086
 0.954,     0.947,    [     0.000],    20.086
 0.955,     0.947,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.953,    [     0.000],    20.086


seed_val:    6
 0.813,     0.811,    [     0.000],    20.086
 0.920,     0.907,    [     0.000],    20.086
 0.937,     0.923,    [     0.000],    20.086
 0.941,     0.929,    [     0.000],    20.086
 0.944,     0.932,    [     0.000],    20.086
 0.946,     0.935,    [     0.000],    20.086
 0.948,     0.937,    [     0.000],    20.086
 0.949,     0.938,    [     0.000],    20.086
 0.950,     0.939,    [     0.000],    20.086
 0.951,     0.941,    [     0.000],    20.086
 0.951,     0.943,    [     0.000],    20.086
 0.952,     0.943,    [     0.000],    20.086
 0.954,     0.946,    [     0.000],    20.086
 0.954,     0.946,    [     0.000],    20.086
 0.955,     0.947,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.931,    [     0.000],    20.086


seed_val:    7
 0.728,     0.738,    [     0.000],    20.086
 0.880,     0.878,    [     0.000],    20.086
 0.909,     0.902,    [     0.000],    20.086
 0.921,     0.914,    [     0.000],    20.086
 0.930,     0.922,    [     0.000],    20.086
 0.935,     0.925,    [     0.000],    20.086
 0.938,     0.927,    [     0.000],    20.086
 0.940,     0.929,    [     0.000],    20.086
 0.942,     0.931,    [     0.000],    20.086
 0.945,     0.933,    [     0.000],    20.086
 0.946,     0.934,    [     0.000],    20.086
 0.948,     0.936,    [     0.000],    20.086
 0.949,     0.937,    [     0.000],    20.086
 0.951,     0.939,    [     0.000],    20.086
 0.953,     0.940,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.939,    [     0.000],    20.086


seed_val:    8
 0.583,     0.628,    [     0.000],    20.086
 0.895,     0.882,    [     0.000],    20.086
 0.925,     0.914,    [     0.000],    20.086
 0.932,     0.924,    [     0.000],    20.086
 0.937,     0.929,    [     0.000],    20.086
 0.942,     0.933,    [     0.000],    20.086
 0.945,     0.937,    [     0.000],    20.086
 0.946,     0.937,    [     0.000],    20.086
 0.947,     0.939,    [     0.000],    20.086
 0.949,     0.940,    [     0.000],    20.086
 0.950,     0.941,    [     0.000],    20.086
 0.950,     0.941,    [     0.000],    20.086
 0.951,     0.942,    [     0.000],    20.086
 0.952,     0.945,    [     0.000],    20.086
 0.953,     0.944,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.953,    [     0.000],    20.086


seed_val:    9
 0.836,     0.846,    [     0.000],    20.086
 0.921,     0.925,    [     0.000],    20.086
 0.933,     0.937,    [     0.000],    20.086
 0.939,     0.942,    [     0.000],    20.086
 0.942,     0.943,    [     0.000],    20.086
 0.946,     0.946,    [     0.000],    20.086
 0.947,     0.948,    [     0.000],    20.086
 0.948,     0.949,    [     0.000],    20.086
 0.949,     0.950,    [     0.000],    20.086
 0.950,     0.952,    [     0.000],    20.086
 0.950,     0.951,    [     0.000],    20.086
 0.952,     0.952,    [     0.000],    20.086
 0.952,     0.953,    [     0.000],    20.086
 0.953,     0.954,    [     0.000],    20.086
 0.953,     0.954,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.944,    [     0.000],    20.086


seed_val:    10
 0.824,     0.809,    [     0.000],    20.086
 0.894,     0.898,    [     0.000],    20.086
 0.919,     0.924,    [     0.000],    20.086
 0.927,     0.930,    [     0.000],    20.086
 0.931,     0.933,    [     0.000],    20.086
 0.934,     0.933,    [     0.000],    20.086
 0.937,     0.937,    [     0.000],    20.086
 0.939,     0.936,    [     0.000],    20.086
 0.940,     0.935,    [     0.000],    20.086
 0.943,     0.938,    [     0.000],    20.086
 0.946,     0.942,    [     0.000],    20.086
 0.948,     0.944,    [     0.000],    20.086
 0.950,     0.947,    [     0.000],    20.086
 0.952,     0.947,    [     0.000],    20.086
 0.954,     0.947,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.958,    [     0.000],    20.086

 trans: climate_2008_airT,     0.948 ±  0.008
 α, β: [     0.000] ± [     0.000], 20.086 ±  0.000
