seed_val:    1
 0.899,     0.927,    [     0.800],     8.145
 0.937,     0.950,    [     0.860],    12.173
 0.948,     0.955,    [     0.893],    17.412
 0.952,     0.957,    [     0.917],    22.061
 0.955,     0.959,    [     0.933],    25.573
 0.957,     0.960,    [     0.944],    28.160
 0.958,     0.961,    [     0.952],    29.870
 0.958,     0.961,    [     0.958],    31.097
 0.959,     0.961,    [     0.962],    31.780
 0.959,     0.961,    [     0.966],    32.354
 0.960,     0.961,    [     0.968],    32.828
 0.961,     0.963,    [     0.970],    33.197
 0.961,     0.962,    [     0.972],    33.533
 0.961,     0.962,    [     0.973],    33.841
 0.961,     0.962,    [     0.975],    34.240

 pctg,    rr,    α,    β
 0.600,     0.975,    [     0.975],    34.240


seed_val:    2
 0.813,     0.916,    [     0.934],     4.051
 0.894,     0.941,    [     0.965],     6.224
 0.943,     0.963,    [     0.970],    10.799
 0.953,     0.967,    [     0.971],    17.805
 0.955,     0.966,    [     0.972],    24.388
 0.957,     0.965,    [     0.974],    28.846
 0.957,     0.965,    [     0.976],    31.434
 0.959,     0.965,    [     0.977],    33.178
 0.958,     0.964,    [     0.978],    33.929
 0.959,     0.964,    [     0.979],    34.578
 0.959,     0.963,    [     0.980],    35.216
 0.959,     0.964,    [     0.981],    35.575
 0.960,     0.964,    [     0.982],    35.818
 0.961,     0.964,    [     0.982],    36.136
 0.960,     0.963,    [     0.983],    36.513

 pctg,    rr,    α,    β
 0.600,     0.976,    [     0.983],    36.513


seed_val:    3
 0.779,     0.918,    [     0.937],     2.707
 0.868,     0.940,    [     0.964],     4.467
 0.930,     0.959,    [     0.973],     7.653
 0.952,     0.968,    [     0.973],    13.656
 0.954,     0.968,    [     0.974],    20.686
 0.957,     0.968,    [     0.975],    26.288
 0.956,     0.966,    [     0.977],    29.632
 0.958,     0.967,    [     0.978],    31.758
 0.959,     0.968,    [     0.979],    32.998
 0.959,     0.967,    [     0.981],    33.903
 0.959,     0.967,    [     0.982],    34.565
 0.960,     0.968,    [     0.983],    35.170
 0.960,     0.968,    [     0.983],    35.788
 0.960,     0.968,    [     0.984],    36.150
 0.961,     0.968,    [     0.985],    36.318

 pctg,    rr,    α,    β
 0.600,     0.967,    [     0.985],    36.318


seed_val:    4
 0.880,     0.946,    [     0.894],     5.708
 0.934,     0.964,    [     0.916],     9.678
 0.949,     0.969,    [     0.929],    15.002
 0.953,     0.970,    [     0.939],    20.252
 0.956,     0.971,    [     0.948],    24.471
 0.957,     0.971,    [     0.954],    27.021
 0.958,     0.972,    [     0.960],    28.806
 0.959,     0.973,    [     0.964],    30.081
 0.957,     0.972,    [     0.967],    31.016
 0.960,     0.973,    [     0.970],    31.833
 0.960,     0.973,    [     0.972],    32.416
 0.961,     0.973,    [     0.974],    33.030
 0.960,     0.972,    [     0.975],    33.457
 0.961,     0.973,    [     0.976],    34.048
 0.962,     0.973,    [     0.977],    34.498

 pctg,    rr,    α,    β
 0.600,     0.970,    [     0.977],    34.498


seed_val:    5
 0.894,     0.946,    [     0.908],     4.831
 0.943,     0.963,    [     0.918],     9.327
 0.951,     0.966,    [     0.928],    15.592
 0.956,     0.969,    [     0.938],    21.921
 0.957,     0.969,    [     0.947],    26.570
 0.958,     0.969,    [     0.954],    29.268
 0.957,     0.968,    [     0.960],    30.963
 0.959,     0.969,    [     0.964],    32.147
 0.960,     0.970,    [     0.967],    32.925
 0.960,     0.969,    [     0.970],    33.629
 0.961,     0.968,    [     0.972],    34.276
 0.961,     0.968,    [     0.973],    34.695
 0.960,     0.967,    [     0.975],    34.984
 0.961,     0.967,    [     0.976],    35.201
 0.962,     0.968,    [     0.977],    35.587

 pctg,    rr,    α,    β
 0.600,     0.969,    [     0.977],    35.587


seed_val:    6
 0.822,     0.928,    [     0.926],     4.394
 0.898,     0.951,    [     0.952],     7.118
 0.941,     0.964,    [     0.958],    12.083
 0.956,     0.967,    [     0.961],    19.113
 0.959,     0.967,    [     0.964],    25.740
 0.960,     0.967,    [     0.968],    29.942
 0.962,     0.967,    [     0.971],    32.277
 0.962,     0.967,    [     0.973],    33.474
 0.962,     0.966,    [     0.975],    34.096
 0.962,     0.967,    [     0.977],    34.352
 0.963,     0.968,    [     0.978],    34.811
 0.963,     0.967,    [     0.979],    35.381
 0.963,     0.967,    [     0.980],    35.876
 0.964,     0.966,    [     0.981],    36.226
 0.964,     0.967,    [     0.982],    36.573

 pctg,    rr,    α,    β
 0.600,     0.966,    [     0.982],    36.573


seed_val:    7
 0.833,     0.923,    [     0.935],     3.801
 0.915,     0.956,    [     0.952],     6.748
 0.936,     0.963,    [     0.957],    11.508
 0.947,     0.964,    [     0.962],    17.157
 0.954,     0.966,    [     0.967],    22.871
 0.956,     0.967,    [     0.970],    27.445
