seed_val:    1
 0.870,     0.951,    [     0.938],     3.864
 0.923,     0.965,    [     0.967],     6.731
 0.941,     0.971,    [     0.979],    10.924
 0.948,     0.974,    [     0.986],    15.750
 0.951,     0.975,    [     0.990],    20.238
 0.956,     0.976,    [     0.993],    24.229
 0.956,     0.976,    [     0.994],    27.038
 0.958,     0.975,    [     0.995],    29.024
 0.959,     0.974,    [     0.996],    30.578
 0.960,     0.974,    [     0.997],    31.889
 0.962,     0.974,    [     0.997],    33.056
 0.962,     0.974,    [     0.997],    33.868
 0.963,     0.974,    [     0.998],    34.476
 0.963,     0.973,    [     0.998],    35.304
 0.964,     0.972,    [     0.998],    36.053

 pctg,    rr,    α,    β
 0.600,     0.977,    [     0.998],    36.053


seed_val:    2
 0.887,     0.949,    [     0.945],     4.206
 0.939,     0.963,    [     0.974],     7.366
 0.948,     0.963,    [     0.984],    12.454
 0.947,     0.964,    [     0.988],    17.600
 0.948,     0.965,    [     0.992],    21.619
 0.953,     0.966,    [     0.994],    24.747
 0.954,     0.968,    [     0.995],    27.296
 0.955,     0.969,    [     0.996],    29.329
 0.957,     0.970,    [     0.996],    31.109
 0.956,     0.969,    [     0.997],    32.365
 0.957,     0.969,    [     0.997],    33.148
 0.957,     0.971,    [     0.997],    34.087
 0.958,     0.971,    [     0.998],    34.707
 0.958,     0.971,    [     0.998],    35.377
 0.957,     0.971,    [     0.998],    35.622

 pctg,    rr,    α,    β
 0.600,     0.973,    [     0.998],    35.622


seed_val:    3
 0.885,     0.943,    [     0.952],     2.145
 0.924,     0.955,    [     0.970],     4.341
 0.944,     0.965,    [     0.982],     7.890
 0.955,     0.971,    [     0.989],    12.958
 0.961,     0.975,    [     0.992],    19.163
 0.962,     0.975,    [     0.995],    25.203
 0.963,     0.975,    [     0.996],    29.761
 0.963,     0.973,    [     0.997],    32.425
 0.963,     0.972,    [     0.997],    33.831
 0.964,     0.972,    [     0.998],    34.994
 0.964,     0.971,    [     0.998],    35.935
 0.965,     0.971,    [     0.998],    36.759
 0.966,     0.972,    [     0.998],    37.410
 0.966,     0.972,    [     0.999],    38.189
 0.967,     0.973,    [     0.999],    38.836

 pctg,    rr,    α,    β
 0.600,     0.976,    [     0.999],    38.836


seed_val:    4
 0.868,     0.953,    [     0.943],     3.322
 0.927,     0.968,    [     0.972],     5.961
 0.939,     0.974,    [     0.983],    10.102
 0.945,     0.977,    [     0.989],    14.837
 0.950,     0.978,    [     0.992],    19.066
 0.950,     0.979,    [     0.994],    21.940
 0.952,     0.980,    [     0.995],    23.930
 0.953,     0.980,    [     0.996],    25.454
 0.954,     0.980,    [     0.997],    26.620
 0.954,     0.981,    [     0.997],    27.357
 0.955,     0.981,    [     0.997],    28.031
 0.956,     0.982,    [     0.998],    28.600
 0.957,     0.982,    [     0.998],    29.075
 0.957,     0.983,    [     0.998],    29.736
 0.959,     0.982,    [     0.998],    30.483

 pctg,    rr,    α,    β
 0.600,     0.982,    [     0.998],    30.483


seed_val:    5
 0.859,     0.961,    [     0.942],     2.689
 0.906,     0.972,    [     0.966],     5.156
 0.922,     0.975,    [     0.980],     8.873
 0.933,     0.977,    [     0.988],    13.242
 0.941,     0.976,    [     0.992],    17.505
 0.945,     0.976,    [     0.994],    20.876
 0.947,     0.976,    [     0.995],    23.426
 0.949,     0.976,    [     0.996],    25.480
 0.951,     0.977,    [     0.997],    27.176
 0.953,     0.977,    [     0.997],    28.514
 0.954,     0.977,    [     0.998],    29.658
 0.955,     0.976,    [     0.998],    30.483
 0.953,     0.977,    [     0.998],    30.952
 0.956,     0.977,    [     0.998],    31.739
 0.957,     0.978,    [     0.998],    32.578

 pctg,    rr,    α,    β
 0.600,     0.976,    [     0.998],    32.578


seed_val:    6
 0.906,     0.959,    [     0.979],     1.054
 0.934,     0.969,    [     0.981],     2.521
 0.940,     0.971,    [     0.985],     5.475
 0.947,     0.975,    [     0.988],    10.165
 0.951,     0.978,    [     0.991],    15.666
 0.956,     0.980,    [     0.993],    20.682
 0.958,     0.981,    [     0.995],    24.327
 0.960,     0.981,    [     0.996],    27.085
 0.960,     0.981,    [     0.996],    28.700
 0.961,     0.981,    [     0.997],    29.981
 0.963,     0.981,    [     0.997],    31.186
 0.964,     0.981,    [     0.997],    32.345
 0.965,     0.980,    [     0.998],    33.304
 0.966,     0.980,    [     0.998],    34.174
 0.967,     0.979,    [     0.998],    34.927

 pctg,    rr,    α,    β
 0.600,     0.974,    [     0.998],    34.927


seed_val:    7
 0.868,     0.963,    [     0.943],     4.282
 0.919,     0.971,    [     0.973],     7.303
 0.937,     0.974,    [     0.985],    11.744
 0.946,     0.975,    [     0.990],    16.880
 0.948,     0.977,    [     0.993],    21.309
 0.953,     0.976,    [     0.995],    24.732
 0.955,     0.977,    [     0.996],    27.184
 0.957,     0.976,    [     0.996],    29.122
 0.958,     0.977,    [     0.997],    30.506
 0.960,     0.976,    [     0.997],    31.541
 0.960,     0.976,    [     0.998],    32.464
 0.960,     0.975,    [     0.998],    33.172
 0.960,     0.976,    [     0.998],    33.768
 0.961,     0.977,    [     0.998],    34.469
 0.963,     0.976,    [     0.998],    35.009

 pctg,    rr,    α,    β
 0.600,     0.977,    [     0.998],    35.009


seed_val:    8
 0.857,     0.963,    [     0.938],     4.785
 0.921,     0.972,    [     0.970],     8.132
 0.938,     0.973,    [     0.982],    13.113
 0.945,     0.974,    [     0.988],    18.211
