seed_val:    1
 0.867,     0.955,    [     0.934],     5.041
 0.918,     0.962,    [     0.967],     8.094
 0.931,     0.960,    [     0.980],    11.975
 0.934,     0.957,    [     0.986],    15.228
 0.936,     0.953,    [     0.990],    17.401
 0.940,     0.953,    [     0.992],    18.993
 0.942,     0.951,    [     0.994],    20.042
 0.942,     0.949,    [     0.995],    20.896
 0.944,     0.947,    [     0.995],    21.480
 0.944,     0.948,    [     0.996],    21.958
 0.947,     0.949,    [     0.996],    22.305
 0.946,     0.946,    [     0.997],    22.522
 0.947,     0.947,    [     0.997],    22.709
 0.945,     0.944,    [     0.997],    22.974
 0.947,     0.944,    [     0.997],    23.182

 pctg,    rr,    α,    β
 0.600,     0.947,    [     0.997],    23.182


seed_val:    2
 0.891,     0.959,    [     0.945],     4.596
 0.936,     0.967,    [     0.974],     7.928
 0.945,     0.966,    [     0.984],    12.643
 0.939,     0.959,    [     0.989],    16.577
 0.937,     0.957,    [     0.992],    18.731
 0.937,     0.955,    [     0.993],    19.850
 0.936,     0.954,    [     0.994],    20.654
 0.937,     0.955,    [     0.995],    21.321
 0.939,     0.954,    [     0.996],    21.861
 0.937,     0.950,    [     0.996],    22.637
 0.940,     0.953,    [     0.997],    23.206
 0.942,     0.953,    [     0.997],    23.787
 0.939,     0.951,    [     0.997],    23.958
 0.940,     0.951,    [     0.997],    24.127
 0.941,     0.952,    [     0.998],    24.409

 pctg,    rr,    α,    β
 0.600,     0.942,    [     0.998],    24.409


seed_val:    3
 0.872,     0.958,    [     0.948],     3.548
 0.934,     0.964,    [     0.974],     6.436
 0.945,     0.960,    [     0.983],    10.985
 0.945,     0.958,    [     0.988],    15.359
 0.946,     0.957,    [     0.991],    18.627
 0.947,     0.955,    [     0.993],    20.731
 0.949,     0.956,    [     0.995],    22.246
 0.949,     0.957,    [     0.996],    23.400
 0.952,     0.959,    [     0.996],    24.250
 0.952,     0.958,    [     0.997],    25.134
 0.953,     0.958,    [     0.997],    25.661
 0.955,     0.960,    [     0.997],    26.165
 0.953,     0.958,    [     0.998],    26.220
 0.952,     0.958,    [     0.998],    26.260
 0.953,     0.957,    [     0.998],    26.289

 pctg,    rr,    α,    β
 0.600,     0.962,    [     0.998],    26.289


seed_val:    4
 0.885,     0.967,    [     0.935],     5.434
 0.921,     0.973,    [     0.969],     8.565
 0.925,     0.967,    [     0.981],    12.134
 0.927,     0.966,    [     0.987],    14.975
 0.926,     0.965,    [     0.990],    16.680
 0.928,     0.960,    [     0.992],    17.493
 0.927,     0.961,    [     0.993],    18.175
 0.933,     0.961,    [     0.994],    18.830
 0.932,     0.960,    [     0.995],    19.274
 0.934,     0.962,    [     0.996],    19.556
 0.936,     0.960,    [     0.996],    19.952
 0.937,     0.960,    [     0.997],    20.315
 0.934,     0.959,    [     0.997],    20.418
 0.939,     0.960,    [     0.997],    20.814
 0.937,     0.960,    [     0.997],    21.044

 pctg,    rr,    α,    β
 0.600,     0.966,    [     0.997],    21.044


seed_val:    5
 0.877,     0.968,    [     0.942],     4.321
 0.919,     0.976,    [     0.972],     7.404
 0.934,     0.973,    [     0.983],    11.620
 0.936,     0.968,    [     0.988],    15.752
 0.935,     0.965,    [     0.992],    18.167
 0.936,     0.964,    [     0.993],    19.516
 0.935,     0.961,    [     0.995],    20.135
 0.938,     0.960,    [     0.995],    20.883
 0.943,     0.963,    [     0.996],    21.662
 0.940,     0.961,    [     0.996],    22.103
 0.941,     0.960,    [     0.997],    22.610
 0.945,     0.962,    [     0.997],    23.012
 0.942,     0.960,    [     0.997],    22.992
 0.945,     0.960,    [     0.998],    23.510
 0.945,     0.959,    [     0.998],    23.903

 pctg,    rr,    α,    β
 0.600,     0.952,    [     0.998],    23.903


seed_val:    6
 0.876,     0.961,    [     0.948],     3.758
 0.931,     0.970,    [     0.976],     6.585
 0.943,     0.973,    [     0.986],    10.921
 0.940,     0.970,    [     0.991],    15.616
 0.937,     0.964,    [     0.993],    18.355
 0.937,     0.963,    [     0.994],    19.444
 0.938,     0.961,    [     0.995],    20.075
 0.938,     0.960,    [     0.996],    20.771
 0.939,     0.959,    [     0.996],    20.596
 0.941,     0.960,    [     0.997],    21.010
 0.940,     0.961,    [     0.997],    21.311
 0.941,     0.959,    [     0.997],    21.548
 0.944,     0.961,    [     0.997],    22.094
 0.942,     0.959,    [     0.998],    22.259
 0.942,     0.958,    [     0.998],    22.250

 pctg,    rr,    α,    β
 0.600,     0.953,    [     0.998],    22.250


seed_val:    7
 0.870,     0.963,    [     0.948],     4.031
 0.921,     0.970,    [     0.975],     7.032
 0.926,     0.955,    [     0.984],    11.276
 0.930,     0.954,    [     0.989],    14.990
 0.933,     0.954,    [     0.991],    17.486
 0.934,     0.954,    [     0.993],    19.102
 0.939,     0.957,    [     0.995],    19.986
 0.941,     0.957,    [     0.995],    20.944
 0.942,     0.957,    [     0.996],    21.620
 0.942,     0.955,    [     0.996],    22.183
 0.944,     0.957,    [     0.997],    22.801
 0.946,     0.958,    [     0.997],    23.476
 0.946,     0.954,    [     0.997],    23.668
 0.945,     0.954,    [     0.998],    23.818
 0.946,     0.952,    [     0.998],    24.051

 pctg,    rr,    α,    β
 0.600,     0.962,    [     0.998],    24.051


seed_val:    8
 0.853,     0.961,    [     0.945],     4.236
 0.915,     0.971,    [     0.974],     7.328
 0.927,     0.961,    [     0.984],    11.775
 0.931,     0.956,    [     0.989],    15.689
 0.931,     0.953,    [     0.992],    18.131
 0.933,     0.953,    [     0.993],    19.516
 0.934,     0.955,    [     0.995],    20.428
 0.934,     0.951,    [     0.995],    20.806
 0.934,     0.953,    [     0.996],    21.196
 0.935,     0.951,    [     0.996],    21.420
 0.938,     0.954,    [     0.997],    22.049
 0.937,     0.951,    [     0.997],    22.384
 0.937,     0.951,    [     0.997],    22.522
 0.939,     0.951,    [     0.998],    22.960
 0.941,     0.952,    [     0.998],    23.165

 pctg,    rr,    α,    β
 0.600,     0.961,    [     0.998],    23.165


seed_val:    9
 0.880,     0.961,    [     0.945],     4.695
 0.932,     0.971,    [     0.974],     8.064
 0.935,     0.963,    [     0.984],    12.465
 0.937,     0.960,    [     0.989],    15.973
 0.938,     0.959,    [     0.992],    18.355
 0.940,     0.957,    [     0.994],    20.011
 0.941,     0.957,    [     0.995],    20.976
 0.945,     0.958,    [     0.996],    21.639
 0.943,     0.957,    [     0.996],    22.083
 0.941,     0.953,    [     0.997],    22.101
 0.943,     0.954,    [     0.997],    22.234
 0.946,     0.958,    [     0.997],    22.398
 0.944,     0.956,    [     0.997],    22.688
 0.943,     0.953,    [     0.998],    22.981
 0.943,     0.953,    [     0.998],    22.941

 pctg,    rr,    α,    β
 0.600,     0.964,    [     0.998],    22.941


seed_val:    10
 0.890,     0.959,    [     0.947],     4.226
 0.934,     0.967,    [     0.973],     7.375
 0.947,     0.975,    [     0.984],    11.959
 0.945,     0.971,    [     0.989],    16.213
 0.945,     0.970,    [     0.992],    18.549
 0.945,     0.968,    [     0.993],    19.985
 0.946,     0.967,    [     0.994],    21.051
 0.945,     0.964,    [     0.995],    21.706
 0.947,     0.964,    [     0.996],    22.344
 0.947,     0.965,    [     0.996],    22.989
 0.946,     0.963,    [     0.997],    23.131
 0.946,     0.962,    [     0.997],    23.346
 0.947,     0.961,    [     0.997],    23.667
 0.946,     0.961,    [     0.998],    24.262
 0.949,     0.963,    [     0.998],    24.263

 pctg,    rr,    α,    β
 0.600,     0.963,    [     0.998],    24.263

 trans: climate_2008_pm2.5,     0.957 ±  0.008
 α, β: [     0.998] ± [     0.000], 23.550 ±  1.404
