seed_val:    1
 0.839,     0.890,    [     0.911],     4.150
 0.880,     0.899,    [     0.942],     6.339
 0.891,     0.903,    [     0.957],     8.669
 0.898,     0.906,    [     0.968],    10.474
 0.902,     0.908,    [     0.974],    11.750
 0.906,     0.910,    [     0.979],    12.624
 0.909,     0.912,    [     0.982],    13.262
 0.910,     0.913,    [     0.984],    13.734
 0.912,     0.914,    [     0.986],    14.112
 0.913,     0.914,    [     0.988],    14.460
 0.914,     0.914,    [     0.989],    14.703
 0.916,     0.915,    [     0.990],    14.959
 0.916,     0.915,    [     0.990],    15.143
 0.917,     0.916,    [     0.991],    15.379
 0.919,     0.917,    [     0.992],    15.597

 pctg,    rr,    α,    β
 0.600,     0.939,    [     0.992],    15.597


seed_val:    2
 0.803,     0.911,    [     0.932],     3.563
 0.861,     0.920,    [     0.960],     5.471
 0.879,     0.920,    [     0.969],     7.787
 0.888,     0.923,    [     0.975],     9.732
 0.894,     0.926,    [     0.979],    11.227
 0.898,     0.929,    [     0.982],    12.250
 0.900,     0.931,    [     0.984],    12.985
 0.902,     0.932,    [     0.986],    13.525
 0.904,     0.932,    [     0.988],    13.879
 0.906,     0.933,    [     0.989],    14.170
 0.906,     0.933,    [     0.990],    14.387
 0.908,     0.933,    [     0.990],    14.603
 0.909,     0.935,    [     0.991],    14.809
 0.910,     0.935,    [     0.991],    14.971
 0.910,     0.936,    [     0.992],    15.137

 pctg,    rr,    α,    β
 0.600,     0.914,    [     0.992],    15.137


seed_val:    3
 0.791,     0.905,    [     0.954],     1.754
 0.834,     0.916,    [     0.967],     3.345
 0.862,     0.923,    [     0.976],     5.559
 0.874,     0.923,    [     0.981],     7.931
 0.878,     0.922,    [     0.984],     9.715
 0.882,     0.924,    [     0.986],    10.887
 0.883,     0.925,    [     0.988],    11.566
 0.885,     0.925,    [     0.989],    12.031
 0.886,     0.926,    [     0.990],    12.352
 0.887,     0.927,    [     0.991],    12.642
 0.889,     0.928,    [     0.992],    12.911
 0.890,     0.928,    [     0.992],    13.151
 0.892,     0.928,    [     0.993],    13.348
 0.893,     0.928,    [     0.993],    13.550
 0.894,     0.929,    [     0.994],    13.707

 pctg,    rr,    α,    β
 0.600,     0.945,    [     0.994],    13.707


seed_val:    4
 0.793,     0.880,    [     0.962],     1.493
 0.835,     0.890,    [     0.970],     2.968
 0.866,     0.902,    [     0.975],     5.253
 0.887,     0.908,    [     0.978],     7.991
 0.892,     0.909,    [     0.981],    10.352
 0.896,     0.912,    [     0.984],    11.874
