seed_val:    1
 0.850,     0.896,    [     0.905],     5.382
 0.876,     0.900,    [     0.944],     7.265
 0.879,     0.897,    [     0.960],     8.816
 0.881,     0.895,    [     0.969],     9.708
 0.880,     0.893,    [     0.974],    10.198
 0.882,     0.894,    [     0.978],    10.565
 0.886,     0.894,    [     0.980],    10.794
 0.886,     0.893,    [     0.982],    11.045
 0.887,     0.893,    [     0.984],    11.198
 0.887,     0.892,    [     0.985],    11.402
 0.889,     0.891,    [     0.986],    11.545
 0.889,     0.891,    [     0.987],    11.736
 0.892,     0.891,    [     0.988],    11.837
 0.891,     0.888,    [     0.988],    12.018
 0.893,     0.890,    [     0.989],    12.142

 pctg,    rr,    α,    β
 0.600,     0.909,    [     0.989],    12.142


seed_val:    2
 0.816,     0.916,    [     0.928],     4.407
 0.868,     0.921,    [     0.960],     6.360
 0.880,     0.917,    [     0.971],     8.405
 0.886,     0.914,    [     0.977],     9.921
 0.887,     0.911,    [     0.981],    10.770
 0.888,     0.909,    [     0.984],    11.117
 0.888,     0.909,    [     0.985],    11.358
 0.888,     0.908,    [     0.987],    11.558
 0.888,     0.907,    [     0.988],    11.653
 0.889,     0.906,    [     0.989],    11.752
 0.888,     0.904,    [     0.990],    11.785
 0.889,     0.906,    [     0.990],    11.871
 0.889,     0.905,    [     0.991],    11.963
 0.891,     0.905,    [     0.991],    12.040
 0.890,     0.903,    [     0.992],    12.203

 pctg,    rr,    α,    β
 0.600,     0.891,    [     0.992],    12.203


seed_val:    3
 0.773,     0.913,    [     0.941],     3.029
 0.841,     0.921,    [     0.967],     4.857
 0.865,     0.918,    [     0.976],     7.179
 0.866,     0.913,    [     0.980],     8.948
 0.866,     0.909,    [     0.983],     9.838
 0.868,     0.909,    [     0.985],    10.325
 0.869,     0.908,    [     0.986],    10.619
 0.871,     0.909,    [     0.988],    10.791
 0.876,     0.909,    [     0.988],    11.017
 0.873,     0.906,    [     0.989],    11.106
 0.875,     0.905,    [     0.990],    11.215
 0.876,     0.906,    [     0.990],    11.299
 0.877,     0.904,    [     0.991],    11.401
 0.879,     0.905,    [     0.991],    11.475
 0.878,     0.904,    [     0.991],    11.547

 pctg,    rr,    α,    β
 0.600,     0.923,    [     0.991],    11.547


seed_val:    4
 0.823,     0.898,    [     0.925],     4.482
 0.868,     0.895,    [     0.952],     6.490
 0.872,     0.891,    [     0.962],     8.184
 0.873,     0.890,    [     0.969],     9.257
 0.875,     0.889,    [     0.974],     9.862
 0.876,     0.890,    [     0.978],    10.196
 0.878,     0.892,    [     0.980],    10.442
 0.880,     0.893,    [     0.982],    10.679
 0.881,     0.894,    [     0.984],    10.973
 0.882,     0.894,    [     0.985],    11.099
 0.880,     0.891,    [     0.986],    11.252
 0.881,     0.891,    [     0.987],    11.389
 0.885,     0.891,    [     0.988],    11.521
 0.883,     0.888,    [     0.989],    11.632
 0.886,     0.891,    [     0.989],    11.679

 pctg,    rr,    α,    β
 0.600,     0.907,    [     0.989],    11.679


seed_val:    5
 0.787,     0.900,    [     0.930],     4.081
 0.838,     0.901,    [     0.956],     6.187
 0.840,     0.893,    [     0.967],     8.124
 0.842,     0.889,    [     0.974],     9.330
 0.844,     0.888,    [     0.978],     9.954
 0.845,     0.885,    [     0.981],    10.302
 0.842,     0.881,    [     0.983],    10.446
 0.846,     0.884,    [     0.985],    10.565
 0.846,     0.884,    [     0.986],    10.690
 0.847,     0.883,    [     0.987],    10.803
 0.846,     0.881,    [     0.988],    10.887
 0.846,     0.880,    [     0.989],    10.930
 0.844,     0.878,    [     0.990],    10.944
 0.845,     0.879,    [     0.990],    11.009
 0.849,     0.883,    [     0.990],    11.120

 pctg,    rr,    α,    β
 0.600,     0.929,    [     0.990],    11.120


seed_val:    6
 0.786,     0.882,    [     0.931],     4.026
 0.854,     0.903,    [     0.961],     5.919
 0.881,     0.911,    [     0.972],     8.274
 0.886,     0.908,    [     0.979],    10.160
 0.890,     0.906,    [     0.982],    11.182
 0.890,     0.904,    [     0.985],    11.669
 0.892,     0.903,    [     0.987],    11.962
 0.893,     0.901,    [     0.988],    12.128
 0.895,     0.901,    [     0.989],    12.272
 0.895,     0.902,    [     0.990],    12.387
 0.894,     0.900,    [     0.991],    12.408
 0.894,     0.899,    [     0.991],    12.416
 0.895,     0.898,    [     0.992],    12.441
 0.896,     0.898,    [     0.992],    12.526
 0.898,     0.897,    [     0.992],    12.683

 pctg,    rr,    α,    β
 0.600,     0.879,    [     0.992],    12.683


seed_val:    7
 0.812,     0.911,    [     0.933],     3.926
 0.858,     0.919,    [     0.965],     5.719
 0.867,     0.919,    [     0.975],     7.760
 0.874,     0.921,    [     0.980],     9.264
 0.880,     0.923,    [     0.984],    10.166
 0.879,     0.923,    [     0.986],    10.602
 0.882,     0.924,    [     0.987],    10.900
 0.882,     0.925,    [     0.988],    11.046
 0.882,     0.925,    [     0.989],    11.155
 0.882,     0.924,    [     0.990],    11.253
 0.883,     0.923,    [     0.990],    11.311
 0.886,     0.923,    [     0.991],    11.451
 0.885,     0.922,    [     0.991],    11.539
 0.886,     0.924,    [     0.992],    11.626
 0.887,     0.922,    [     0.992],    11.709

 pctg,    rr,    α,    β
 0.600,     0.895,    [     0.992],    11.709


seed_val:    8
 0.802,     0.873,    [     0.932],     4.586
 0.865,     0.881,    [     0.959],     6.985
 0.876,     0.877,    [     0.970],     9.403
 0.878,     0.875,    [     0.976],    10.898
 0.880,     0.872,    [     0.980],    11.694
 0.882,     0.871,    [     0.983],    12.115
 0.884,     0.870,    [     0.985],    12.494
 0.885,     0.870,    [     0.987],    12.679
 0.884,     0.869,    [     0.988],    12.770
 0.887,     0.871,    [     0.989],    12.944
 0.887,     0.871,    [     0.990],    13.018
 0.887,     0.870,    [     0.990],    13.118
 0.885,     0.868,    [     0.991],    13.153
 0.890,     0.872,    [     0.991],    13.403
 0.890,     0.872,    [     0.992],    13.542

 pctg,    rr,    α,    β
 0.600,     0.907,    [     0.992],    13.542


seed_val:    9
 0.790,     0.898,    [     0.935],     4.001
 0.858,     0.913,    [     0.963],     6.023
 0.865,     0.906,    [     0.971],     8.205
 0.864,     0.904,    [     0.976],     9.433
 0.862,     0.900,    [     0.980],     9.966
 0.865,     0.902,    [     0.982],    10.311
 0.867,     0.899,    [     0.984],    10.569
 0.869,     0.901,    [     0.985],    10.727
 0.868,     0.900,    [     0.986],    10.880
 0.869,     0.897,    [     0.987],    10.947
 0.870,     0.898,    [     0.988],    11.020
 0.872,     0.899,    [     0.989],    11.154
 0.871,     0.897,    [     0.989],    11.257
 0.872,     0.896,    [     0.990],    11.321
 0.873,     0.897,    [     0.990],    11.321

 pctg,    rr,    α,    β
 0.600,     0.914,    [     0.990],    11.321


seed_val:    10
 0.807,     0.912,    [     0.935],     3.764
 0.860,     0.918,    [     0.959],     5.773
 0.867,     0.915,    [     0.969],     7.830
 0.872,     0.915,    [     0.976],     9.256
 0.870,     0.911,    [     0.980],     9.942
 0.872,     0.912,    [     0.983],    10.278
 0.867,     0.909,    [     0.985],    10.385
 0.867,     0.908,    [     0.986],    10.515
 0.870,     0.909,    [     0.988],    10.580
 0.873,     0.910,    [     0.989],    10.747
 0.872,     0.909,    [     0.989],    10.825
 0.871,     0.909,    [     0.990],    10.822
 0.870,     0.908,    [     0.991],    10.845
 0.870,     0.908,    [     0.991],    10.920
 0.873,     0.910,    [     0.991],    11.024

 pctg,    rr,    α,    β
 0.600,     0.902,    [     0.991],    11.024

 trans: climate_2008_precipitation,     0.906 ±  0.015
 α, β: [     0.991] ± [     0.001], 11.897 ±  0.773
