seed_val:    1
 0.898,     0.904,    [     0.000],    20.086
 0.900,     0.906,    [     0.000],    20.086
 0.903,     0.907,    [     0.000],    20.086
 0.905,     0.908,    [     0.000],    20.086
 0.905,     0.909,    [     0.000],    20.086
 0.907,     0.910,    [     0.000],    20.086
 0.909,     0.911,    [     0.000],    20.086
 0.909,     0.911,    [     0.000],    20.086
 0.911,     0.911,    [     0.000],    20.086
 0.912,     0.912,    [     0.000],    20.086
 0.912,     0.911,    [     0.000],    20.086
 0.914,     0.912,    [     0.000],    20.086
 0.914,     0.912,    [     0.000],    20.086
 0.915,     0.913,    [     0.000],    20.086
 0.915,     0.914,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.938,    [     0.000],    20.086


seed_val:    2
 0.888,     0.923,    [     0.000],    20.086
 0.892,     0.922,    [     0.000],    20.086
 0.894,     0.925,    [     0.000],    20.086
 0.895,     0.926,    [     0.000],    20.086
 0.898,     0.927,    [     0.000],    20.086
 0.900,     0.927,    [     0.000],    20.086
 0.901,     0.928,    [     0.000],    20.086
 0.902,     0.929,    [     0.000],    20.086
 0.902,     0.930,    [     0.000],    20.086
 0.904,     0.931,    [     0.000],    20.086
 0.904,     0.931,    [     0.000],    20.086
 0.905,     0.931,    [     0.000],    20.086
 0.906,     0.932,    [     0.000],    20.086
 0.906,     0.932,    [     0.000],    20.086
 0.906,     0.933,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.912,    [     0.000],    20.086


seed_val:    3
 0.879,     0.924,    [     0.000],    20.086
 0.882,     0.922,    [     0.000],    20.086
 0.881,     0.921,    [     0.000],    20.086
 0.881,     0.922,    [     0.000],    20.086
 0.882,     0.922,    [     0.000],    20.086
 0.883,     0.923,    [     0.000],    20.086
 0.883,     0.922,    [     0.000],    20.086
 0.884,     0.923,    [     0.000],    20.086
 0.885,     0.924,    [     0.000],    20.086
 0.885,     0.924,    [     0.000],    20.086
 0.886,     0.925,    [     0.000],    20.086
 0.887,     0.927,    [     0.000],    20.086
 0.887,     0.927,    [     0.000],    20.086
 0.888,     0.928,    [     0.000],    20.086
 0.889,     0.929,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.942,    [     0.000],    20.086


seed_val:    4
 0.850,     0.897,    [     0.000],    20.086
 0.879,     0.903,    [     0.000],    20.086
 0.889,     0.909,    [     0.000],    20.086
 0.893,     0.910,    [     0.000],    20.086
 0.895,     0.910,    [     0.000],    20.086
 0.897,     0.911,    [     0.000],    20.086
 0.899,     0.911,    [     0.000],    20.086
 0.900,     0.913,    [     0.000],    20.086
 0.902,     0.913,    [     0.000],    20.086
 0.902,     0.914,    [     0.000],    20.086
