seed_val:    1
 0.912,     0.957,    [     0.849],     8.155
 0.942,     0.971,    [     0.914],    12.689
 0.953,     0.975,    [     0.946],    18.508
 0.958,     0.975,    [     0.964],    24.049
 0.961,     0.977,    [     0.974],    28.651
 0.964,     0.977,    [     0.980],    32.333
 0.965,     0.977,    [     0.984],    34.918
 0.966,     0.978,    [     0.987],    36.821
 0.968,     0.979,    [     0.989],    38.685
 0.968,     0.979,    [     0.990],    40.229
 0.969,     0.978,    [     0.991],    41.508
 0.970,     0.978,    [     0.992],    42.727
 0.971,     0.977,    [     0.993],    43.275
 0.971,     0.977,    [     0.993],    43.938
 0.972,     0.977,    [     0.994],    44.842

 pctg,    rr,    α,    β
 0.600,     0.977,    [     0.994],    44.842


seed_val:    2
 0.902,     0.962,    [     0.923],     4.584
 0.933,     0.970,    [     0.943],     8.565
 0.943,     0.973,    [     0.955],    13.977
 0.950,     0.976,    [     0.967],    19.678
 0.956,     0.977,    [     0.975],    25.042
 0.961,     0.979,    [     0.980],    29.435
 0.964,     0.980,    [     0.984],    33.224
 0.965,     0.980,    [     0.986],    36.190
 0.966,     0.980,    [     0.988],    38.103
 0.968,     0.981,    [     0.989],    40.036
 0.969,     0.981,    [     0.990],    41.586
 0.969,     0.982,    [     0.991],    42.956
 0.970,     0.981,    [     0.992],    43.522
 0.970,     0.981,    [     0.993],    44.205
 0.970,     0.980,    [     0.993],    44.898

 pctg,    rr,    α,    β
 0.600,     0.979,    [     0.993],    44.898


seed_val:    3
 0.910,     0.942,    [     0.996],     0.222
 0.912,     0.943,    [     0.996],     0.589
 0.918,     0.946,    [     0.996],     1.493
 0.942,     0.959,    [     0.996],     3.541
 0.954,     0.970,    [     0.996],     7.829
 0.958,     0.973,    [     0.996],    15.134
 0.960,     0.974,    [     0.997],    23.862
 0.962,     0.975,    [     0.997],    31.157
 0.964,     0.976,    [     0.997],    36.050
 0.964,     0.976,    [     0.997],    38.613
 0.966,     0.977,    [     0.997],    40.437
 0.967,     0.978,    [     0.997],    41.546
 0.967,     0.977,    [     0.997],    42.348
 0.967,     0.977,    [     0.998],    43.066
 0.968,     0.978,    [     0.998],    43.558

 pctg,    rr,    α,    β
 0.600,     0.977,    [     0.998],    43.558


seed_val:    4
 0.894,     0.956,    [     0.924],     4.766
 0.936,     0.966,    [     0.949],     8.805
 0.945,     0.970,    [     0.962],    14.681
 0.952,     0.973,    [     0.971],    21.371
 0.958,     0.975,    [     0.977],    27.148
 0.959,     0.976,    [     0.981],    31.280
 0.962,     0.976,    [     0.984],    34.117
 0.963,     0.977,    [     0.986],    35.666
 0.964,     0.977,    [     0.988],    36.804
 0.964,     0.978,    [     0.989],    37.656
 0.965,     0.978,    [     0.990],    38.500
 0.965,     0.978,    [     0.990],    39.491
 0.966,     0.979,    [     0.991],    40.288
 0.966,     0.978,    [     0.992],    41.139
 0.967,     0.979,    [     0.992],    41.481

 pctg,    rr,    α,    β
 0.600,     0.982,    [     0.992],    41.481


seed_val:    5
 0.912,     0.960,    [     0.877],     6.254
 0.943,     0.967,    [     0.914],    10.847
 0.950,     0.968,    [     0.941],    16.456
 0.956,     0.971,    [     0.960],    21.985
 0.960,     0.972,    [     0.971],    26.916
 0.962,     0.973,    [     0.979],    30.695
 0.964,     0.973,    [     0.983],    33.562
 0.965,     0.972,    [     0.986],    35.698
 0.966,     0.972,    [     0.988],    37.541
 0.967,     0.973,    [     0.990],    39.079
 0.968,     0.974,    [     0.991],    40.577
 0.967,     0.973,    [     0.992],    41.495
 0.968,     0.974,    [     0.993],    42.355
 0.969,     0.975,    [     0.993],    43.365
 0.969,     0.974,    [     0.994],    43.888

 pctg,    rr,    α,    β
 0.600,     0.979,    [     0.994],    43.888


seed_val:    6
 0.909,     0.948,    [     0.976],     1.217
 0.951,     0.965,    [     0.977],     2.985
 0.954,     0.970,    [     0.977],     6.809
