seed_val:    1
 0.886,     0.957,    [     0.937],     3.677
 0.926,     0.958,    [     0.954],     6.947
 0.937,     0.959,    [     0.963],    11.439
 0.942,     0.958,    [     0.971],    15.621
 0.943,     0.957,    [     0.978],    18.630
 0.944,     0.956,    [     0.982],    20.512
 0.947,     0.959,    [     0.985],    21.936
 0.947,     0.957,    [     0.987],    22.786
 0.950,     0.960,    [     0.989],    23.318
 0.949,     0.959,    [     0.990],    23.777
 0.950,     0.959,    [     0.991],    24.225
 0.952,     0.960,    [     0.992],    24.781
 0.952,     0.960,    [     0.992],    24.909
 0.952,     0.959,    [     0.993],    25.183
 0.952,     0.960,    [     0.994],    25.345

 pctg,    rr,    α,    β
 0.600,     0.964,    [     0.994],    25.345


seed_val:    2
 0.879,     0.957,    [     0.938],     4.628
 0.917,     0.960,    [     0.959],     8.074
 0.927,     0.964,    [     0.966],    12.194
 0.934,     0.967,    [     0.972],    15.990
 0.938,     0.969,    [     0.978],    18.868
 0.943,     0.971,    [     0.982],    20.834
 0.945,     0.972,    [     0.985],    22.647
 0.946,     0.972,    [     0.987],    23.372
 0.946,     0.972,    [     0.989],    23.897
 0.946,     0.971,    [     0.990],    24.386
 0.949,     0.972,    [     0.991],    25.077
 0.947,     0.971,    [     0.992],    25.495
 0.948,     0.971,    [     0.993],    25.772
 0.948,     0.971,    [     0.993],    26.015
 0.949,     0.971,    [     0.994],    26.548

 pctg,    rr,    α,    β
 0.600,     0.968,    [     0.994],    26.548


seed_val:    3
 0.892,     0.962,    [     0.924],     5.231
 0.918,     0.956,    [     0.948],     8.895
 0.927,     0.958,    [     0.961],    12.706
 0.932,     0.959,    [     0.971],    16.162
 0.937,     0.962,    [     0.978],    18.963
 0.943,     0.965,    [     0.983],    21.293
 0.946,     0.966,    [     0.986],    22.905
 0.944,     0.964,    [     0.988],    24.096
 0.948,     0.966,    [     0.990],    25.076
 0.947,     0.966,    [     0.991],    25.779
 0.951,     0.967,    [     0.992],    26.372
 0.952,     0.967,    [     0.993],    26.918
 0.952,     0.967,    [     0.994],    27.407
 0.954,     0.968,    [     0.994],    28.128
 0.952,     0.967,    [     0.995],    28.175

 pctg,    rr,    α,    β
 0.600,     0.965,    [     0.995],    28.175


seed_val:    4
 0.875,     0.958,    [     0.950],     2.893
 0.925,     0.966,    [     0.969],     5.636
 0.928,     0.953,    [     0.975],    10.130
 0.928,     0.950,    [     0.978],    14.753
 0.935,     0.953,    [     0.982],    18.298
 0.934,     0.952,    [     0.985],    20.346
 0.938,     0.955,    [     0.987],    21.923
 0.937,     0.954,    [     0.989],    22.754
 0.942,     0.957,    [     0.990],    23.728
 0.942,     0.957,    [     0.991],    24.351
 0.944,     0.959,    [     0.992],    24.947
 0.945,     0.959,    [     0.993],    25.266
 0.945,     0.959,    [     0.993],    25.518
 0.946,     0.959,    [     0.994],    26.066
 0.945,     0.958,    [     0.994],    26.378

 pctg,    rr,    α,    β
 0.600,     0.966,    [     0.994],    26.378


seed_val:    5
 0.876,     0.965,    [     0.941],     4.262
 0.935,     0.961,    [     0.964],     7.869
 0.937,     0.952,    [     0.970],    12.480
 0.938,     0.952,    [     0.976],    16.289
 0.942,     0.956,    [     0.980],    18.950
 0.943,     0.957,    [     0.983],    20.671
 0.945,     0.958,    [     0.986],    21.704
 0.945,     0.957,    [     0.987],    22.612
 0.946,     0.957,    [     0.989],    23.172
 0.943,     0.955,    [     0.990],    23.517
 0.946,     0.957,    [     0.991],    24.049
 0.947,     0.958,    [     0.992],    24.340
 0.946,     0.957,    [     0.992],    24.339
 0.947,     0.958,    [     0.993],    24.743
 0.948,     0.958,    [     0.993],    25.216

 pctg,    rr,    α,    β
 0.600,     0.956,    [     0.993],    25.216


seed_val:    6
 0.884,     0.938,    [     0.917],     5.774
 0.926,     0.948,    [     0.941],     9.440
 0.934,     0.949,    [     0.955],    13.848
 0.938,     0.950,    [     0.966],    17.516
 0.940,     0.950,    [     0.973],    20.243
 0.941,     0.950,    [     0.978],    21.824
 0.943,     0.952,    [     0.982],    23.026
 0.943,     0.951,    [     0.985],    23.850
 0.945,     0.951,    [     0.987],    24.494
 0.943,     0.952,    [     0.988],    24.849
 0.944,     0.952,    [     0.989],    25.398
 0.947,     0.953,    [     0.990],    25.896
 0.949,     0.954,    [     0.991],    26.264
 0.946,     0.952,    [     0.992],    26.617
 0.948,     0.953,    [     0.992],    27.201

 pctg,    rr,    α,    β
 0.600,     0.957,    [     0.992],    27.201


seed_val:    7
