seed_val:    1
 0.914,     0.955,    [     0.983],     0.885
 0.927,     0.960,    [     0.984],     2.162
 0.944,     0.969,    [     0.985],     4.908
 0.955,     0.975,    [     0.986],    10.168
 0.960,     0.974,    [     0.986],    17.997
 0.968,     0.977,    [     0.986],    27.141
 0.972,     0.980,    [     0.987],    36.722
 0.976,     0.981,    [     0.988],    46.117
 0.977,     0.982,    [     0.989],    54.221
 0.979,     0.984,    [     0.990],    61.367
 0.980,     0.984,    [     0.991],    66.696
 0.981,     0.985,    [     0.991],    70.896
 0.981,     0.984,    [     0.992],    73.913
 0.982,     0.984,    [     0.992],    76.468
 0.982,     0.984,    [     0.993],    78.487

 pctg,    rr,    α,    β
 0.600,     0.990,    [     0.993],    78.487

 pctg_inductive,    rr,    α,    β
 0.000,     0.913,    [     0.993],    78.487
 0.050,     0.970,    [     0.993],    78.487
 0.100,     0.977,    [     0.993],    78.487
 0.150,     0.978,    [     0.993],    78.487
 0.200,     0.981,    [     0.993],    78.487
 0.250,     0.982,    [     0.993],    78.487
 0.300,     0.984,    [     0.993],    78.487
 0.350,     0.985,    [     0.993],    78.487
 0.400,     0.986,    [     0.993],    78.487
 0.450,     0.987,    [     0.993],    78.487
 0.500,     0.988,    [     0.993],    78.487
 0.550,     0.988,    [     0.993],    78.487
 0.600,     0.987,    [     0.993],    78.487


seed_val:    2
 0.904,     0.960,    [     0.936],     3.802
 0.953,     0.970,    [     0.946],     7.836
 0.965,     0.977,    [     0.947],    14.967
 0.972,     0.982,    [     0.951],    25.068
 0.976,     0.984,    [     0.958],    36.262
 0.979,     0.986,    [     0.964],    46.302
 0.979,     0.987,    [     0.970],    53.912
 0.981,     0.988,    [     0.974],    59.842
 0.982,     0.988,    [     0.978],    64.430
 0.983,     0.988,    [     0.980],    68.120
 0.983,     0.988,    [     0.982],    71.164
 0.984,     0.989,    [     0.984],    73.791
 0.984,     0.989,    [     0.985],    75.471
 0.984,     0.989,    [     0.986],    77.047
 0.984,     0.989,    [     0.987],    78.296

 pctg,    rr,    α,    β
 0.600,     0.987,    [     0.987],    78.296

 pctg_inductive,    rr,    α,    β
 0.000,     0.884,    [     0.987],    78.296
 0.050,     0.939,    [     0.987],    78.296
 0.100,     0.967,    [     0.987],    78.296
 0.150,     0.976,    [     0.987],    78.296
 0.200,     0.976,    [     0.987],    78.296
 0.250,     0.983,    [     0.987],    78.296
 0.300,     0.979,    [     0.987],    78.296
 0.350,     0.984,    [     0.987],    78.296
 0.400,     0.984,    [     0.987],    78.296
 0.450,     0.984,    [     0.987],    78.296
 0.500,     0.985,    [     0.987],    78.296
 0.550,     0.984,    [     0.987],    78.296
 0.600,     0.987,    [     0.987],    78.296


seed_val:    3
 0.881,     0.963,    [     0.965],     1.566
 0.927,     0.973,    [     0.972],     3.497
 0.966,     0.982,    [     0.976],     7.721
 0.970,     0.983,    [     0.976],    16.114
 0.973,     0.984,    [     0.976],    28.012
 0.975,     0.984,    [     0.978],    40.352
 0.977,     0.984,    [     0.981],    50.122
 0.978,     0.985,    [     0.983],    56.888
 0.979,     0.986,    [     0.985],    62.393
 0.980,     0.987,    [     0.986],    66.939
 0.980,     0.987,    [     0.987],    70.447
 0.981,     0.987,    [     0.988],    73.573
 0.982,     0.987,    [     0.989],    76.234
 0.982,     0.988,    [     0.990],    78.700
 0.983,     0.988,    [     0.990],    80.806

 pctg,    rr,    α,    β
 0.600,     0.980,    [     0.990],    80.806

 pctg_inductive,    rr,    α,    β
 0.000,     0.902,    [     0.990],    80.806
 0.050,     0.959,    [     0.990],    80.806
 0.100,     0.969,    [     0.990],    80.806
 0.150,     0.975,    [     0.990],    80.806
 0.200,     0.977,    [     0.990],    80.806
 0.250,     0.981,    [     0.990],    80.806
 0.300,     0.980,    [     0.990],    80.806
 0.350,     0.983,    [     0.990],    80.806
 0.400,     0.986,    [     0.990],    80.806
 0.450,     0.987,    [     0.990],    80.806
 0.500,     0.988,    [     0.990],    80.806
 0.550,     0.986,    [     0.990],    80.806
 0.600,     0.989,    [     0.990],    80.806


seed_val:    4
 0.847,     0.946,    [     0.937],     3.340
 0.929,     0.958,    [     0.948],     6.582
 0.950,     0.969,    [     0.949],    12.305
 0.965,     0.978,    [     0.952],    20.737
 0.972,     0.982,    [     0.957],    30.915
 0.975,     0.984,    [     0.963],    41.150
 0.977,     0.985,    [     0.968],    50.382
 0.979,     0.985,    [     0.972],    57.680
 0.980,     0.985,    [     0.976],    63.829
 0.981,     0.985,    [     0.979],    68.565
 0.982,     0.985,    [     0.981],    72.265
 0.982,     0.985,    [     0.982],    75.262
 0.983,     0.985,    [     0.984],    77.716
 0.982,     0.985,    [     0.985],    79.425
 0.983,     0.985,    [     0.986],    80.813

 pctg,    rr,    α,    β
 0.600,     0.990,    [     0.986],    80.813

 pctg_inductive,    rr,    α,    β
 0.000,     0.898,    [     0.986],    80.813
 0.050,     0.952,    [     0.986],    80.813
 0.100,     0.962,    [     0.986],    80.813
 0.150,     0.976,    [     0.986],    80.813
 0.200,     0.977,    [     0.986],    80.813
 0.250,     0.975,    [     0.986],    80.813
 0.300,     0.979,    [     0.986],    80.813
 0.350,     0.984,    [     0.986],    80.813
 0.400,     0.981,    [     0.986],    80.813
 0.450,     0.984,    [     0.986],    80.813
 0.500,     0.983,    [     0.986],    80.813
 0.550,     0.985,    [     0.986],    80.813
 0.600,     0.988,    [     0.986],    80.813


seed_val:    5
 0.903,     0.965,    [     0.953],     2.057
 0.945,     0.974,    [     0.965],     4.519
 0.963,     0.978,    [     0.972],     9.460
 0.969,     0.982,    [     0.976],    18.057
 0.975,     0.984,    [     0.978],    29.975
 0.977,     0.985,    [     0.981],    42.449
 0.979,     0.985,    [     0.983],    52.360
 0.980,     0.985,    [     0.985],    59.795
 0.981,     0.985,    [     0.986],    65.455
 0.981,     0.985,    [     0.988],    69.343
 0.982,     0.985,    [     0.989],    72.336
 0.982,     0.985,    [     0.990],    74.442
