seed_val:    1
 0.801,     0.802,    [     0.000],    20.086
 0.903,     0.909,    [     0.000],    20.086
 0.919,     0.924,    [     0.000],    20.086
 0.929,     0.931,    [     0.000],    20.086
 0.934,     0.935,    [     0.000],    20.086
 0.938,     0.939,    [     0.000],    20.086
 0.942,     0.942,    [     0.000],    20.086
 0.944,     0.943,    [     0.000],    20.086
 0.946,     0.945,    [     0.000],    20.086
 0.947,     0.945,    [     0.000],    20.086
 0.949,     0.946,    [     0.000],    20.086
 0.950,     0.947,    [     0.000],    20.086
 0.952,     0.948,    [     0.000],    20.086
 0.953,     0.949,    [     0.000],    20.086
 0.953,     0.949,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.953,    [     0.000],    20.086


seed_val:    2
 0.836,     0.828,    [     0.000],    20.086
 0.904,     0.897,    [     0.000],    20.086
 0.930,     0.924,    [     0.000],    20.086
 0.939,     0.933,    [     0.000],    20.086
 0.945,     0.939,    [     0.000],    20.086
 0.949,     0.943,    [     0.000],    20.086
 0.951,     0.944,    [     0.000],    20.086
 0.954,     0.948,    [     0.000],    20.086
 0.956,     0.950,    [     0.000],    20.086
 0.957,     0.952,    [     0.000],    20.086
 0.958,     0.954,    [     0.000],    20.086
 0.960,     0.954,    [     0.000],    20.086
 0.959,     0.952,    [     0.000],    20.086
 0.961,     0.957,    [     0.000],    20.086
 0.962,     0.956,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.954,    [     0.000],    20.086


seed_val:    3
 0.815,     0.806,    [     0.000],    20.086
 0.910,     0.901,    [     0.000],    20.086
 0.932,     0.926,    [     0.000],    20.086
 0.942,     0.937,    [     0.000],    20.086
 0.947,     0.942,    [     0.000],    20.086
 0.950,     0.944,    [     0.000],    20.086
 0.952,     0.946,    [     0.000],    20.086
 0.954,     0.947,    [     0.000],    20.086
 0.955,     0.949,    [     0.000],    20.086
 0.956,     0.950,    [     0.000],    20.086
 0.957,     0.951,    [     0.000],    20.086
 0.958,     0.952,    [     0.000],    20.086
 0.959,     0.953,    [     0.000],    20.086
 0.960,     0.954,    [     0.000],    20.086
 0.961,     0.955,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.950,    [     0.000],    20.086


seed_val:    4
 0.857,     0.855,    [     0.000],    20.086
 0.913,     0.912,    [     0.000],    20.086
 0.930,     0.929,    [     0.000],    20.086
 0.938,     0.938,    [     0.000],    20.086
 0.943,     0.943,    [     0.000],    20.086
 0.946,     0.945,    [     0.000],    20.086
 0.949,     0.949,    [     0.000],    20.086
 0.950,     0.951,    [     0.000],    20.086
 0.951,     0.951,    [     0.000],    20.086
 0.953,     0.954,    [     0.000],    20.086
 0.955,     0.954,    [     0.000],    20.086
 0.956,     0.955,    [     0.000],    20.086
 0.957,     0.955,    [     0.000],    20.086
 0.958,     0.955,    [     0.000],    20.086
 0.958,     0.955,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.957,    [     0.000],    20.086


seed_val:    5
 0.779,     0.778,    [     0.000],    20.086
 0.897,     0.894,    [     0.000],    20.086
 0.929,     0.925,    [     0.000],    20.086
 0.936,     0.933,    [     0.000],    20.086
 0.940,     0.938,    [     0.000],    20.086
 0.943,     0.941,    [     0.000],    20.086
 0.946,     0.944,    [     0.000],    20.086
 0.948,     0.945,    [     0.000],    20.086
 0.948,     0.945,    [     0.000],    20.086
 0.951,     0.947,    [     0.000],    20.086
 0.953,     0.950,    [     0.000],    20.086
 0.955,     0.950,    [     0.000],    20.086
 0.955,     0.950,    [     0.000],    20.086
 0.957,     0.951,    [     0.000],    20.086
 0.957,     0.952,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.958,    [     0.000],    20.086


seed_val:    6
 0.852,     0.859,    [     0.000],    20.086
 0.891,     0.891,    [     0.000],    20.086
 0.912,     0.907,    [     0.000],    20.086
 0.924,     0.917,    [     0.000],    20.086
 0.931,     0.923,    [     0.000],    20.086
 0.935,     0.928,    [     0.000],    20.086
 0.940,     0.932,    [     0.000],    20.086
 0.943,     0.935,    [     0.000],    20.086
 0.945,     0.938,    [     0.000],    20.086
 0.948,     0.942,    [     0.000],    20.086
 0.951,     0.945,    [     0.000],    20.086
 0.953,     0.948,    [     0.000],    20.086
 0.955,     0.950,    [     0.000],    20.086
 0.957,     0.953,    [     0.000],    20.086
 0.958,     0.955,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.946,    [     0.000],    20.086


seed_val:    7
 0.841,     0.849,    [     0.000],    20.086
 0.919,     0.919,    [     0.000],    20.086
 0.933,     0.931,    [     0.000],    20.086
 0.939,     0.936,    [     0.000],    20.086
 0.944,     0.938,    [     0.000],    20.086
 0.948,     0.941,    [     0.000],    20.086
 0.951,     0.942,    [     0.000],    20.086
 0.952,     0.945,    [     0.000],    20.086
 0.954,     0.946,    [     0.000],    20.086
 0.955,     0.947,    [     0.000],    20.086
 0.957,     0.948,    [     0.000],    20.086
 0.958,     0.949,    [     0.000],    20.086
 0.959,     0.950,    [     0.000],    20.086
 0.960,     0.951,    [     0.000],    20.086
 0.961,     0.952,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.953,    [     0.000],    20.086


seed_val:    8
 0.815,     0.795,    [     0.000],    20.086
 0.890,     0.875,    [     0.000],    20.086
 0.925,     0.908,    [     0.000],    20.086
 0.938,     0.923,    [     0.000],    20.086
 0.944,     0.930,    [     0.000],    20.086
 0.947,     0.934,    [     0.000],    20.086
 0.949,     0.935,    [     0.000],    20.086
 0.952,     0.939,    [     0.000],    20.086
 0.953,     0.941,    [     0.000],    20.086
 0.952,     0.941,    [     0.000],    20.086
 0.956,     0.943,    [     0.000],    20.086
 0.957,     0.944,    [     0.000],    20.086
 0.958,     0.944,    [     0.000],    20.086
 0.959,     0.946,    [     0.000],    20.086
 0.960,     0.946,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.958,    [     0.000],    20.086


seed_val:    9
 0.595,     0.564,    [     0.000],    20.086
 0.891,     0.893,    [     0.000],    20.086
 0.916,     0.920,    [     0.000],    20.086
 0.928,     0.930,    [     0.000],    20.086
 0.935,     0.938,    [     0.000],    20.086
 0.940,     0.942,    [     0.000],    20.086
 0.943,     0.945,    [     0.000],    20.086
 0.947,     0.949,    [     0.000],    20.086
 0.949,     0.952,    [     0.000],    20.086
 0.952,     0.954,    [     0.000],    20.086
 0.953,     0.955,    [     0.000],    20.086
 0.955,     0.956,    [     0.000],    20.086
 0.957,     0.958,    [     0.000],    20.086
 0.958,     0.959,    [     0.000],    20.086
 0.958,     0.960,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.952,    [     0.000],    20.086


seed_val:    10
 0.880,     0.883,    [     0.000],    20.086
 0.918,     0.924,    [     0.000],    20.086
 0.930,     0.935,    [     0.000],    20.086
 0.936,     0.940,    [     0.000],    20.086
