seed_val:    1
 0.901,     0.951,    [     0.862],     6.698
 0.933,     0.957,    [     0.895],    10.930
 0.942,     0.960,    [     0.916],    15.724
 0.948,     0.962,    [     0.933],    20.109
 0.953,     0.964,    [     0.945],    23.842
 0.956,     0.965,    [     0.954],    26.909
 0.958,     0.966,    [     0.961],    29.207
 0.959,     0.967,    [     0.966],    31.080
 0.961,     0.968,    [     0.969],    32.528
 0.962,     0.968,    [     0.972],    33.749
 0.963,     0.969,    [     0.974],    34.777
 0.964,     0.970,    [     0.976],    35.717
 0.965,     0.970,    [     0.977],    36.432
 0.965,     0.970,    [     0.979],    37.092
 0.965,     0.970,    [     0.980],    37.745

 pctg,    rr,    α,    β
 0.600,     0.978,    [     0.980],    37.745


seed_val:    2
 0.859,     0.920,    [     0.905],     4.623
 0.912,     0.937,    [     0.923],     7.882
 0.931,     0.947,    [     0.932],    12.261
 0.942,     0.952,    [     0.937],    17.067
 0.947,     0.956,    [     0.944],    21.355
 0.950,     0.959,    [     0.950],    24.730
 0.952,     0.960,    [     0.955],    27.299
 0.954,     0.961,    [     0.960],    29.299
 0.955,     0.961,    [     0.964],    30.648
 0.956,     0.962,    [     0.967],    31.728
 0.957,     0.963,    [     0.969],    32.639
 0.957,     0.964,    [     0.971],    33.345
 0.958,     0.965,    [     0.973],    34.107
 0.959,     0.966,    [     0.974],    34.915
 0.959,     0.966,    [     0.975],    35.590

 pctg,    rr,    α,    β
 0.600,     0.975,    [     0.975],    35.590


seed_val:    3
 0.848,     0.936,    [     0.989],     0.555
 0.853,     0.938,    [     0.990],     1.358
 0.875,     0.946,    [     0.990],     2.952
 0.927,     0.961,    [     0.991],     5.870
 0.942,     0.964,    [     0.991],    10.768
 0.947,     0.966,    [     0.991],    16.500
 0.951,     0.967,    [     0.991],    21.433
 0.954,     0.968,    [     0.991],    25.158
 0.958,     0.969,    [     0.991],    28.120
 0.960,     0.969,    [     0.991],    30.879
 0.961,     0.969,    [     0.991],    33.068
 0.962,     0.970,    [     0.991],    34.708
 0.962,     0.971,    [     0.992],    35.881
 0.963,     0.972,    [     0.992],    36.904
 0.963,     0.973,    [     0.992],    37.750

 pctg,    rr,    α,    β
 0.600,     0.970,    [     0.992],    37.750


seed_val:    4
 0.812,     0.920,    [     0.910],     4.496
 0.899,     0.940,    [     0.934],     7.133
 0.928,     0.956,    [     0.941],    11.135
 0.944,     0.965,    [     0.948],    15.969
 0.953,     0.970,    [     0.953],    20.896
 0.957,     0.973,    [     0.958],    25.102
 0.960,     0.974,    [     0.962],    28.414
 0.961,     0.974,    [     0.966],    30.687
 0.962,     0.974,    [     0.968],    32.282
 0.963,     0.974,    [     0.970],    33.258
 0.964,     0.974,    [     0.972],    34.073
 0.964,     0.974,    [     0.973],    34.824
 0.965,     0.975,    [     0.974],    35.553
 0.965,     0.975,    [     0.975],    36.141
 0.966,     0.975,    [     0.976],    36.647

 pctg,    rr,    α,    β
 0.600,     0.972,    [     0.976],    36.647


seed_val:    5
 0.882,     0.943,    [     0.904],     3.855
 0.923,     0.955,    [     0.916],     7.278
 0.936,     0.960,    [     0.927],    11.813
 0.944,     0.964,    [     0.937],    16.634
 0.949,     0.966,    [     0.946],    21.062
 0.953,     0.967,    [     0.953],    24.431
 0.956,     0.968,    [     0.959],    27.069
 0.957,     0.968,    [     0.963],    29.159
 0.959,     0.969,    [     0.967],    31.003
 0.960,     0.970,    [     0.969],    32.316
 0.962,     0.970,    [     0.971],    33.597
 0.963,     0.971,    [     0.973],    34.688
 0.964,     0.972,    [     0.975],    35.456
 0.964,     0.972,    [     0.976],    36.254
 0.965,     0.973,    [     0.977],    36.909

 pctg,    rr,    α,    β
 0.600,     0.970,    [     0.977],    36.909


seed_val:    6
 0.796,     0.909,    [     0.967],     1.344
 0.852,     0.922,    [     0.970],     2.859
 0.892,     0.935,    [     0.971],     5.537
 0.919,     0.946,    [     0.971],     9.535
 0.934,     0.953,    [     0.971],    14.291
 0.942,     0.956,    [     0.972],    18.655
 0.947,     0.959,    [     0.973],    22.056
 0.951,     0.962,    [     0.974],    24.792
 0.955,     0.964,    [     0.975],    27.189
 0.958,     0.966,    [     0.976],    29.524
 0.960,     0.967,    [     0.977],    31.703
 0.962,     0.968,    [     0.978],    33.257
 0.963,     0.968,    [     0.979],    34.560
 0.964,     0.968,    [     0.980],    35.648
 0.965,     0.968,    [     0.981],    36.738

 pctg,    rr,    α,    β
 0.600,     0.963,    [     0.981],    36.738


seed_val:    7
 0.803,     0.892,    [     0.951],     2.124
 0.870,     0.915,    [     0.967],     3.865
 0.926,     0.947,    [     0.972],     7.037
 0.944,     0.958,    [     0.972],    12.398
 0.951,     0.963,    [     0.973],    18.964
 0.956,     0.969,    [     0.975],    25.062
 0.959,     0.973,    [     0.977],    29.928
 0.961,     0.973,    [     0.978],    33.140
 0.962,     0.974,    [     0.980],    35.262
 0.963,     0.974,    [     0.981],    36.673
 0.964,     0.975,    [     0.982],    37.741
 0.964,     0.975,    [     0.982],    38.631
 0.966,     0.975,    [     0.983],    39.492
 0.966,     0.975,    [     0.984],    40.178
 0.966,     0.975,    [     0.984],    40.729

 pctg,    rr,    α,    β
 0.600,     0.972,    [     0.984],    40.729


seed_val:    8
 0.895,     0.924,    [     0.836],     6.593
 0.932,     0.946,    [     0.858],    10.543
 0.941,     0.953,    [     0.878],    15.165
 0.947,     0.958,    [     0.899],    19.309
 0.951,     0.961,    [     0.917],    22.797
 0.954,     0.963,    [     0.931],    25.661
 0.957,     0.964,    [     0.941],    28.184
 0.959,     0.965,    [     0.949],    30.356
 0.960,     0.966,    [     0.955],    32.139
 0.961,     0.967,    [     0.960],    33.789
 0.963,     0.966,    [     0.964],    35.088
 0.964,     0.967,    [     0.967],    36.114
 0.964,     0.967,    [     0.969],    37.184
 0.964,     0.968,    [     0.971],    38.017
 0.965,     0.968,    [     0.973],    38.590

 pctg,    rr,    α,    β
 0.600,     0.973,    [     0.973],    38.590


seed_val:    9
 0.789,     0.850,    [     0.999],     0.068
 0.790,     0.850,    [     0.999],     0.181
 0.793,     0.852,    [     0.999],     0.474
 0.802,     0.856,    [     0.999],     1.168
 0.824,     0.865,    [     0.999],     2.570
 0.853,     0.880,    [     0.999],     4.813
 0.886,     0.904,    [     0.999],     7.702
 0.911,     0.923,    [     0.999],    11.169
 0.921,     0.933,    [     0.999],    14.647
 0.925,     0.936,    [     0.999],    17.250
 0.928,     0.939,    [     0.999],    18.943
 0.931,     0.940,    [     0.999],    20.136
 0.933,     0.943,    [     0.999],    21.025
 0.934,     0.943,    [     0.999],    21.642
 0.934,     0.944,    [     0.999],    22.139

 pctg,    rr,    α,    β
 0.600,     0.950,    [     0.999],    22.139


seed_val:    10
 0.863,     0.932,    [     0.901],     4.900
 0.924,     0.952,    [     0.927],     8.034
 0.944,     0.960,    [     0.937],    13.042
 0.951,     0.962,    [     0.945],    18.582
 0.957,     0.966,    [     0.952],    23.632
 0.960,     0.966,    [     0.959],    27.786
 0.963,     0.967,    [     0.964],    30.939
 0.965,     0.968,    [     0.968],    33.366
 0.966,     0.969,    [     0.971],    35.263
 0.967,     0.969,    [     0.973],    36.597
 0.967,     0.969,    [     0.975],    37.392
 0.968,     0.969,    [     0.976],    37.961
 0.968,     0.970,    [     0.977],    38.392
 0.968,     0.969,    [     0.978],    38.928
 0.968,     0.969,    [     0.979],    39.401

 pctg,    rr,    α,    β
 0.600,     0.967,    [     0.979],    39.401

 trans: climate_2008_landT,     0.969 ±  0.008
 α, β: [     0.982] ± [     0.008], 36.224 ±  5.168
