seed_val:    1
 0.314,     0.211,    [     0.000],    20.086
 0.411,     0.337,    [     0.000],    20.086
 0.440,     0.377,    [     0.000],    20.086
 0.450,     0.391,    [     0.000],    20.086
 0.462,     0.413,    [     0.000],    20.086
 0.483,     0.441,    [     0.000],    20.086
 0.481,     0.438,    [     0.000],    20.086
 0.492,     0.455,    [     0.000],    20.086
 0.489,     0.455,    [     0.000],    20.086
 0.492,     0.449,    [     0.000],    20.086
 0.486,     0.433,    [     0.000],    20.086
 0.505,     0.469,    [     0.000],    20.086
 0.509,     0.476,    [     0.000],    20.086
 0.502,     0.463,    [     0.000],    20.086
 0.483,     0.426,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.401,    [     0.000],    20.086


seed_val:    2
 0.276,     0.156,    [     0.000],    20.086
 0.390,     0.332,    [     0.000],    20.086
 0.428,     0.400,    [     0.000],    20.086
 0.442,     0.415,    [     0.000],    20.086
 0.450,     0.418,    [     0.000],    20.086
 0.465,     0.440,    [     0.000],    20.086
 0.480,     0.457,    [     0.000],    20.086
 0.477,     0.447,    [     0.000],    20.086
 0.484,     0.456,    [     0.000],    20.086
 0.486,     0.460,    [     0.000],    20.086
 0.489,     0.459,    [     0.000],    20.086
 0.487,     0.453,    [     0.000],    20.086
 0.488,     0.455,    [     0.000],    20.086
 0.491,     0.460,    [     0.000],    20.086
 0.487,     0.454,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.443,    [     0.000],    20.086


seed_val:    3
 0.283,     0.180,    [     0.000],    20.086
 0.418,     0.379,    [     0.000],    20.086
 0.445,     0.419,    [     0.000],    20.086
 0.465,     0.439,    [     0.000],    20.086
 0.478,     0.456,    [     0.000],    20.086
 0.468,     0.439,    [     0.000],    20.086
 0.481,     0.457,    [     0.000],    20.086
 0.474,     0.444,    [     0.000],    20.086
 0.485,     0.461,    [     0.000],    20.086
 0.486,     0.456,    [     0.000],    20.086
 0.485,     0.455,    [     0.000],    20.086
 0.490,     0.458,    [     0.000],    20.086
 0.488,     0.458,    [     0.000],    20.086
 0.488,     0.455,    [     0.000],    20.086
 0.493,     0.459,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.442,    [     0.000],    20.086


seed_val:    4
 0.380,     0.302,    [     0.000],    20.086
 0.449,     0.401,    [     0.000],    20.086
 0.462,     0.422,    [     0.000],    20.086
 0.466,     0.422,    [     0.000],    20.086
 0.476,     0.431,    [     0.000],    20.086
 0.473,     0.426,    [     0.000],    20.086
 0.492,     0.454,    [     0.000],    20.086
 0.488,     0.443,    [     0.000],    20.086
 0.490,     0.443,    [     0.000],    20.086
 0.494,     0.451,    [     0.000],    20.086
 0.499,     0.452,    [     0.000],    20.086
 0.496,     0.449,    [     0.000],    20.086
 0.494,     0.444,    [     0.000],    20.086
 0.499,     0.455,    [     0.000],    20.086
 0.500,     0.451,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.458,    [     0.000],    20.086


seed_val:    5
 0.368,     0.305,    [     0.000],    20.086
 0.439,     0.394,    [     0.000],    20.086
 0.442,     0.393,    [     0.000],    20.086
 0.447,     0.399,    [     0.000],    20.086
 0.463,     0.418,    [     0.000],    20.086
 0.463,     0.412,    [     0.000],    20.086
 0.467,     0.421,    [     0.000],    20.086
 0.465,     0.416,    [     0.000],    20.086
 0.464,     0.413,    [     0.000],    20.086
 0.477,     0.430,    [     0.000],    20.086
 0.476,     0.424,    [     0.000],    20.086
 0.472,     0.422,    [     0.000],    20.086
 0.474,     0.423,    [     0.000],    20.086
 0.479,     0.427,    [     0.000],    20.086
 0.473,     0.415,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.461,    [     0.000],    20.086


seed_val:    6
 0.415,     0.350,    [     0.000],    20.086
 0.446,     0.399,    [     0.000],    20.086
 0.457,     0.405,    [     0.000],    20.086
 0.467,     0.420,    [     0.000],    20.086
 0.465,     0.413,    [     0.000],    20.086
 0.473,     0.423,    [     0.000],    20.086
 0.484,     0.439,    [     0.000],    20.086
 0.471,     0.415,    [     0.000],    20.086
 0.479,     0.426,    [     0.000],    20.086
 0.480,     0.426,    [     0.000],    20.086
 0.486,     0.435,    [     0.000],    20.086
 0.479,     0.420,    [     0.000],    20.086
 0.476,     0.413,    [     0.000],    20.086
 0.481,     0.418,    [     0.000],    20.086
 0.490,     0.435,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.445,    [     0.000],    20.086


seed_val:    7
 0.339,     0.214,    [     0.000],    20.086
 0.468,     0.373,    [     0.000],    20.086
 0.480,     0.378,    [     0.000],    20.086
 0.492,     0.395,    [     0.000],    20.086
 0.498,     0.403,    [     0.000],    20.086
 0.501,     0.404,    [     0.000],    20.086
 0.504,     0.406,    [     0.000],    20.086
 0.509,     0.414,    [     0.000],    20.086
 0.501,     0.396,    [     0.000],    20.086
 0.509,     0.414,    [     0.000],    20.086
 0.511,     0.413,    [     0.000],    20.086
 0.518,     0.422,    [     0.000],    20.086
 0.523,     0.432,    [     0.000],    20.086
 0.516,     0.420,    [     0.000],    20.086
 0.509,     0.408,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.383,    [     0.000],    20.086


seed_val:    8
 0.311,     0.246,    [     0.000],    20.086
 0.420,     0.382,    [     0.000],    20.086
 0.446,     0.412,    [     0.000],    20.086
 0.460,     0.421,    [     0.000],    20.086
 0.470,     0.428,    [     0.000],    20.086
 0.476,     0.435,    [     0.000],    20.086
 0.473,     0.427,    [     0.000],    20.086
 0.474,     0.427,    [     0.000],    20.086
 0.486,     0.440,    [     0.000],    20.086
 0.491,     0.447,    [     0.000],    20.086
 0.475,     0.419,    [     0.000],    20.086
 0.496,     0.447,    [     0.000],    20.086
 0.498,     0.449,    [     0.000],    20.086
 0.498,     0.452,    [     0.000],    20.086
 0.496,     0.446,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.485,    [     0.000],    20.086


seed_val:    9
 0.395,     0.313,    [     0.000],    20.086
 0.440,     0.377,    [     0.000],    20.086
 0.459,     0.396,    [     0.000],    20.086
 0.464,     0.410,    [     0.000],    20.086
 0.473,     0.411,    [     0.000],    20.086
 0.470,     0.401,    [     0.000],    20.086
 0.487,     0.427,    [     0.000],    20.086
 0.480,     0.416,    [     0.000],    20.086
 0.473,     0.398,    [     0.000],    20.086
 0.486,     0.423,    [     0.000],    20.086
 0.498,     0.436,    [     0.000],    20.086
 0.490,     0.423,    [     0.000],    20.086
 0.486,     0.414,    [     0.000],    20.086
 0.498,     0.435,    [     0.000],    20.086
 0.496,     0.432,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.453,    [     0.000],    20.086


seed_val:    10
 0.357,     0.324,    [     0.000],    20.086
 0.430,     0.410,    [     0.000],    20.086
 0.449,     0.428,    [     0.000],    20.086
 0.465,     0.444,    [     0.000],    20.086
 0.469,     0.446,    [     0.000],    20.086
 0.477,     0.453,    [     0.000],    20.086
 0.476,     0.445,    [     0.000],    20.086
 0.489,     0.462,    [     0.000],    20.086
 0.482,     0.453,    [     0.000],    20.086
 0.495,     0.470,    [     0.000],    20.086
 0.492,     0.461,    [     0.000],    20.086
 0.489,     0.456,    [     0.000],    20.086
 0.490,     0.457,    [     0.000],    20.086
 0.495,     0.463,    [     0.000],    20.086
 0.488,     0.452,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.432,    [     0.000],    20.086

 trans: twitch_DE_true_8,     0.440 ±  0.030
 α, β: [     0.000] ± [     0.000], 20.086 ±  0.000


seed_val:    1
 0.219,     0.070,    [     0.000],    20.086
 0.347,     0.263,    [     0.000],    20.086
 0.400,     0.337,    [     0.000],    20.086
 0.413,     0.359,    [     0.000],    20.086
 0.423,     0.368,    [     0.000],    20.086
 0.420,     0.362,    [     0.000],    20.086
 0.424,     0.367,    [     0.000],    20.086
 0.434,     0.383,    [     0.000],    20.086
 0.442,     0.391,    [     0.000],    20.086
 0.428,     0.377,    [     0.000],    20.086
 0.442,     0.386,    [     0.000],    20.086
 0.428,     0.367,    [     0.000],    20.086
 0.442,     0.389,    [     0.000],    20.086
 0.436,     0.381,    [     0.000],    20.086
 0.443,     0.385,    [     0.000],    20.086

 pctg,    rr,    α,    β
 0.600,     0.454,    [     0.000],    20.086


seed_val:    2
 0.299,     0.207,    [     0.000],    20.086
 0.399,     0.339,    [     0.000],    20.086
 0.424,     0.364,    [     0.000],    20.086
 0.436,     0.378,    [     0.000],    20.086
 0.445,     0.387,    [     0.000],    20.086
 0.449,     0.390,    [     0.000],    20.086
